Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Temporal_distance,Condition,Task
1,2,1.0,2.0,1.8031515739999997,2.393435136,5.0,Incongruent,N
1,1,1.0,2.0,3.1573288309999996,0.7472913407999999,2.0,Congruent,N
1,2,1.0,3.0,3.124588862,1.4187556190000001,1.0,Incongruent,N
1,1,2.0,1.0,3.5004738810000005,0.8904752634,3.0,Congruent,N
1,1,1.0,2.0,4.199602229,0.6055927266,1.0,Congruent,N
1,1,1.0,2.0,3.403569295,1.585674648,1.0,Congruent,N
1,1,1.0,4.0,4.5985715890000005,0.6925549517999999,1.0,Congruent,N
1,1,1.0,4.0,3.4862747689999996,0.5165393308,4.0,Incongruent,N
1,2,2.0,4.0,3.1489352829999997,0.355241766,1.0,Incongruent,N
1,1,1.0,4.0,3.46446726,0.9024744769999999,4.0,Incongruent,N
1,1,2.0,3.0,4.616926422,0.3992054194,1.0,Congruent,N
1,2,2.0,4.0,3.290048562,0.30424767410000003,5.0,Congruent,N
1,1,1.0,4.0,1.1248550689999999,0.8188834625,5.0,Incongruent,N
1,2,2.0,4.0,2.41919438,0.2973147382,5.0,Congruent,N
1,1,1.0,4.0,4.589009937,1.179588251,5.0,Congruent,N
1,1,1.0,4.0,2.760973113,0.3831184805,3.0,Incongruent,N
1,2,2.0,4.0,3.27587158,0.2580414648,6.0,Incongruent,N
1,1,1.0,4.0,1.165342312,0.9712053514000001,7.0,Incongruent,N
1,1,1.0,4.0,1.665099999,0.8552409642000002,3.0,Congruent,N
1,2,2.0,4.0,2.4197389819999997,2.034113021,2.0,Incongruent,N
1,2,2.0,4.0,2.844662592,0.37101246339999994,3.0,Congruent,N
1,2,2.0,4.0,1.553385948,0.6716047585,7.0,Incongruent,N
1,1,1.0,4.0,1.866107995,0.38424713530000004,6.0,Congruent,N
1,2,2.0,4.0,1.955318228,0.2495500937,4.0,Incongruent,N
1,2,2.0,4.0,4.874489355,0.3205870287,7.0,Congruent,N
1,2,2.0,4.0,2.227496904,0.42609075230000004,7.0,Congruent,N
1,2,2.0,4.0,3.9578866479999997,0.4360892416,4.0,Congruent,N
1,1,1.0,3.0,3.4445517469999998,0.2667047482,2.0,Congruent,N
1,2,NA,NA,NA,NA,4.0,Incongruent,N
1,1,1.0,4.0,1.962142757,0.3603519838,4.0,Congruent,N
1,2,1.0,4.0,3.174711526,0.22097546690000003,5.0,Congruent,N
1,1,1.0,4.0,1.56066335,0.335000069,6.0,Incongruent,N
1,2,2.0,4.0,2.5286168030000002,0.3190013314,3.0,Incongruent,N
1,2,2.0,4.0,2.4153465620000003,0.7894868004,1.0,Incongruent,N
1,1,1.0,4.0,2.77523605,0.4534093938,6.0,Incongruent,N
1,2,2.0,4.0,2.000833261,0.27077932339999994,3.0,Congruent,N
1,1,1.0,4.0,2.4975266780000003,0.1042268907,2.0,Incongruent,N
1,1,1.0,4.0,3.016773305,0.3030025937,7.0,Incongruent,N
1,2,2.0,4.0,2.152715747,0.2063465743,1.0,Incongruent,N
1,1,1.0,4.0,1.499738123,0.3297182597,3.0,Incongruent,N
1,2,2.0,3.0,2.068717083,0.3311150462,4.0,Incongruent,N
1,1,1.0,4.0,1.754976393,0.33717366760000006,3.0,Congruent,N
1,2,2.0,4.0,1.955485971,0.4417520802,6.0,Incongruent,N
1,2,2.0,4.0,1.518734418,0.9648375446,2.0,Congruent,N
1,1,1.0,4.0,1.597108732,0.2514529947,5.0,Incongruent,N
1,2,2.0,4.0,1.6852034609999997,0.004582293506,3.0,Incongruent,N
1,1,1.0,4.0,1.374691576,0.00115431333,6.0,Incongruent,N
1,1,1.0,4.0,3.527636968,0.4698254033,2.0,Congruent,N
1,2,2.0,4.0,2.004763828,0.23510048999999997,7.0,Congruent,N
1,2,2.0,4.0,1.055613911,0.5256279045,3.0,Congruent,N
