accuracy_train,coefficient,ps,adequacy
correct trials,-0.005022055175294538,9.999000099990002e-05,0
correct trials,-0.0057065733421747845,9.999000099990002e-05,1
correct trials,-0.0036548377111510107,9.999000099990002e-05,2
correct trials,0.01523789118150403,9.999000099990002e-05,3
incorrect trials,0.0005366480107186265,9.999000099990002e-05,0
incorrect trials,0.0020543310341285107,9.999000099990002e-05,1
incorrect trials,4.156149716673885e-05,0.47085291470852914,2
incorrect trials,-0.0026335372211548106,9.999000099990002e-05,3
