condition,score_mean,score_std,ps,decoder,target_data,ps_corrected,stars
"T-3,T-2,T-1",0.5578459091157171,0.02278897567741595,4.999500049995001e-05,RF,Cognitive,0.00014998500149985002,***
"T-3,T-2,T-1",0.5553147644490801,0.017106270856502306,4.999500049995001e-05,RNN,Cognitive,0.00014998500149985002,***
"T-3,T-2,T-1",0.5106613165561952,0.0017266625456311727,4.999500049995001e-05,SVM,Cognitive,0.00014998500149985002,***
"T-7,T-6,T-5",0.5360084982461262,0.006054044589663199,4.999500049995001e-05,RF,Cognitive,0.00014998500149985002,***
"T-7,T-6,T-5",0.53553074427958,0.0032217563891687264,4.999500049995001e-05,RNN,Cognitive,0.00014998500149985002,***
"T-7,T-6,T-5",0.5089858822499749,0.004322886776300869,4.999500049995001e-05,SVM,Cognitive,0.00014998500149985002,***
"T-3,T-2,T-1",0.5523573837752331,0.017794911416563412,4.999500049995001e-05,RNN,Memory,0.00014998500149985002,***
"T-3,T-2,T-1",0.5834291590802634,0.0581648040570072,0.0017498250174982502,RF,Memory,0.005249475052494751,**
"T-3,T-2,T-1",0.5281693164316279,0.035940187896596136,0.025222477752224776,SVM,Memory,0.07566743325667433,n.s.
"T-7,T-6,T-5",0.534439633399579,0.01066378468996043,4.999500049995001e-05,RNN,Memory,0.00014998500149985002,***
"T-7,T-6,T-5",0.5677118438819555,0.04432727239808754,0.0025497450254974505,RF,Memory,0.007649235076492351,**
"T-7,T-6,T-5",0.5190547358398611,0.021048674651904676,0.02482251774822518,SVM,Memory,0.07446755324467554,n.s.
"T-3,T-2,T-1",0.5885401080640047,0.03493006679307817,4.999500049995001e-05,RF,Mixed,0.00014998500149985002,***
"T-3,T-2,T-1",0.5689477440089563,0.026640552824714364,4.999500049995001e-05,RNN,Mixed,0.00014998500149985002,***
"T-3,T-2,T-1",0.5484373784400602,0.027088079985768544,4.999500049995001e-05,SVM,Mixed,0.00014998500149985002,***
"T-7,T-6,T-5",0.5524660182755653,0.01712156054423711,4.999500049995001e-05,RF,Mixed,0.00014998500149985002,***
"T-7,T-6,T-5",0.5439250545001417,0.0185574163226236,4.999500049995001e-05,RNN,Mixed,0.00014998500149985002,***
"T-7,T-6,T-5",0.5302586540840923,0.015208547720703463,4.999500049995001e-05,SVM,Mixed,0.00014998500149985002,***
