condition,coefficient,intercept,adequacy
"T-3,T-2,T-1",-0.009185536805686087,-0.06220801899561625,0
"T-3,T-2,T-1",-0.009185536805686083,-0.06220801899561626,0
"T-3,T-2,T-1",-0.009185536805686078,-0.062208018995616246,0
"T-3,T-2,T-1",-0.009185536805686097,-0.06220801899561622,0
"T-3,T-2,T-1",-0.009185536805686078,-0.06220801899561623,0
"T-3,T-2,T-1",-0.009185536805686078,-0.06220801899561623,0
"T-3,T-2,T-1",-0.009185536805686094,-0.06220801899561622,0
"T-3,T-2,T-1",-0.009185536805686076,-0.06220801899561627,0
"T-3,T-2,T-1",-0.009185536805686087,-0.06220801899561624,0
"T-3,T-2,T-1",-0.009185536805686078,-0.06220801899561623,0
"T-3,T-2,T-1",-0.009185536805686076,-0.06220801899561627,0
"T-3,T-2,T-1",-0.009185536805686076,-0.06220801899561627,0
"T-3,T-2,T-1",-0.009185536805686073,-0.06220801899561627,0
"T-3,T-2,T-1",-0.009185536805686068,-0.06220801899561626,0
"T-3,T-2,T-1",-0.00918553680568607,-0.062208018995616274,0
"T-3,T-2,T-1",-0.009185536805686073,-0.06220801899561627,0
"T-3,T-2,T-1",-0.010477503171161421,-0.04284112541768188,1
"T-3,T-2,T-1",-0.010477503171161421,-0.04284112541768188,1
"T-3,T-2,T-1",-0.010477503171161424,-0.042841125417681876,1
"T-3,T-2,T-1",-0.010477503171161428,-0.04284112541768187,1
"T-3,T-2,T-1",-0.01047750317116142,-0.04284112541768187,1
"T-3,T-2,T-1",-0.010477503171161416,-0.04284112541768187,1
"T-3,T-2,T-1",-0.010477503171161428,-0.04284112541768187,1
"T-3,T-2,T-1",-0.010477503171161424,-0.042841125417681876,1
"T-3,T-2,T-1",-0.010477503171161421,-0.04284112541768188,1
"T-3,T-2,T-1",-0.010477503171161424,-0.042841125417681876,1
"T-3,T-2,T-1",-0.010477503171161424,-0.042841125417681876,1
"T-3,T-2,T-1",-0.010477503171161424,-0.042841125417681876,1
"T-3,T-2,T-1",-0.010477503171161428,-0.04284112541768187,1
