fold,score,n_sample,source,sub_name,filename,accuracy_train,accuracy_test,feature importance T-7,feature importance T-6,feature importance T-5,feature importance T-4,feature importance T-3,feature importance T-2,feature importance T-1
0,0.705479034618121,1648,cognitive,1,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,-0.011246311092372618,-0.00023551121457309198,-0.014149398118575606,0.011281372154132973,0.0026024469381356386,0.007020247102835197,0.030565231597521038
0,0.732279022160559,2665,cognitive,1,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.008186967712830373,0.005074414389494219,0.009674719722616465,-0.00033966868963493103,0.010387874009224796,0.012741270953453343,0.053327534106974564
0,0.6009770360548878,1734,cognitive,2,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.020359329887990864,0.006413415380650933,0.0060174309792094816,0.008696326397633559,0.01589571240378268,0.02454446168014701,0.05466176694455176
0,0.5636618505318991,2579,cognitive,2,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,-0.0005636632657942897,-0.012371694725126513,-0.00651134438652885,-0.009599853168436857,-0.003074935741448459,0.0010965500407746798,0.02616861631056059
0,0.6341604077533993,1512,cognitive,3,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,-0.0026243960326252647,-0.00013321231283722757,-0.008486131860121671,-0.0017030070100839123,-0.01529469555018348,-0.010615511641785425,0.011671445086159925
0,0.522156316437958,2801,cognitive,3,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,-0.003601965585578082,0.01629602397588511,-0.006454738235505242,0.005576180494971139,-0.003746061121633193,0.0008019140341428699,0.008153708012194099
0,0.5983233139084896,1618,cognitive,4,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.014067447613068251,0.0005643133689685054,0.01972328817678385,0.005527587831347647,0.010790608892301578,0.009662810787641108,0.05753072570434294
0,0.579144976809111,2695,cognitive,4,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.010139801569955786,0.008593299823840684,0.015937895899769704,0.01162019448078434,0.00776006502159996,0.017051339870758096,0.040244237817742126
0,0.5577247497235338,1715,cognitive,5,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.00480415965259634,-0.0010186197215534486,0.006745475000635359,-0.0016481173494126255,0.002549617660379344,0.008807917776839702,0.03489893550756136
0,0.5490094594125048,2598,cognitive,5,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,-0.0017315168841202434,-0.0012552026923637882,0.0031692416585380025,-0.0005298973227282899,0.0029008689976976142,0.005419254035772381,0.03733093244364297
0,0.5952853233343102,1675,cognitive,6,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.006516026186682266,0.0009590968504946118,0.014009640511390087,-0.0061746807040330195,0.020461385654290565,0.0293301775611002,0.06686936920616328
0,0.5707894010614112,2638,cognitive,6,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,-0.005344482250918181,0.008336426772955475,0.0029692296378811657,-0.004334277487891824,-0.004120978383106144,0.013877591607301698,0.05722305055887157
0,0.6140049745602946,1590,cognitive,7,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.012818497846738807,0.01198441785017934,0.012650022337416545,0.037353256034769855,0.017028018456484294,0.05152614037651467,0.05286707025325295
0,0.5673957630829278,2723,cognitive,7,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,-0.0030926170333382074,-0.007236391705217326,0.0034380914276283202,0.008375393631040761,0.009818859504114097,0.0018495117784225411,0.028894686137200577
0,0.58245556740382,1605,cognitive,8,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,-0.0006797201695769584,0.007203693568015213,0.001002557032298046,0.003889246218917086,0.014178134236003748,0.019098531057056622,0.04707500685920658
0,0.5650340043967177,2708,cognitive,8,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.0006832398387450533,0.007427152713994478,0.007228863800029272,0.01102466648745164,0.0025345492736200902,0.01788369250044325,0.036764610058573274
0,0.6754764372229772,1298,cognitive,9,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.018822477224566835,0.0034468826753523475,0.024339152541242914,0.01818761812116021,0.014106899182144495,0.04271472700294639,0.13272598667123878
0,0.5958232418261349,3015,cognitive,9,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,-0.0022591081991210848,-0.001339408524667607,-0.002429746999940252,-0.00028421374721074864,0.00616066941515,0.002005854780321015,0.042351677225342145
0,0.5775541698663296,1574,cognitive,10,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,-0.0018665866425806698,-0.020908875535120164,-0.026759357471626964,-0.004033010965627304,-0.0065256113667770625,-0.010703412345928054,0.028430388935717376
0,0.6010870431386861,2739,cognitive,10,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.013533528434991149,0.002457588004070266,0.009429753129534969,0.02809969578530075,0.013676616411092291,0.012624025059922717,0.046831391447602656
0,0.6331965331295772,1363,cognitive,11,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.010591423742433026,0.01948181579767987,0.030801529599405398,0.022672769479906086,0.027483385104316194,0.030435897618263506,0.07790714932234523
