fold,score,n_sample,source,sub_name,filename,accuracy_train,accuracy_test,feature importance T-3,feature importance T-2,feature importance T-1
0,0.7147965288323344,1648,cognitive,1,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.0043201127131569424,0.0009089543253833155,0.06567053690147359
0,0.7594738463442645,2665,cognitive,1,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.014547222346929012,0.026307973734023438,0.0785571320714964
0,0.6116117321430387,1734,cognitive,2,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.008635263963678396,0.02718956819200965,0.0915293668007734
0,0.5915112573546301,2579,cognitive,2,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.013199276046620068,0.00808560240865085,0.07838424226371692
0,0.6355060992093969,1512,cognitive,3,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,-0.0005572540033834339,-0.005266357108891784,0.00611587878886335
0,0.5822042722181853,2801,cognitive,3,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.006120439255206079,0.034347431292406694,0.044334288448969986
0,0.5823641693421568,1618,cognitive,4,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.013487320911177613,0.025713201017365184,0.06257864091546936
0,0.5748165799959624,2695,cognitive,4,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.022257538574431766,0.023807327868092733,0.04699356357239165
0,0.5836300463115488,1715,cognitive,5,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.009686085215697072,0.022944116763693657,0.06398794120838358
0,0.5651825065985138,2598,cognitive,5,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.005961859665236912,0.014517927256905695,0.05015256351705133
0,0.6467078344799367,1675,cognitive,6,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.012049788274087569,0.04066802820260808,0.10424238531139032
0,0.6508195147241729,2638,cognitive,6,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.004148940261231304,0.025460168566534058,0.1297699712216688
0,0.6416325717701492,1590,cognitive,7,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.050443942211437706,0.05480761225303367,0.09167186974617747
0,0.6044353294278078,2723,cognitive,7,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.004823644481928369,0.02119417337399545,0.06818839877993957
0,0.5776702726703556,1605,cognitive,8,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.008155173506333458,0.014723606572560466,0.04794489237861784
0,0.58877399532013,2708,cognitive,8,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.020183425977495627,0.028265003715246272,0.06412827136681933
0,0.6973950709225203,824,cognitive,9,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,0,0.02153528774393846,0.032858755464145004,0.14925674452473242
0,0.6177905731361529,1960,cognitive,9,../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,0,1,0.0029411557854476912,0.028180308638709163,0.09187726329013875
