fold,score,n_sample,source,sub_name,filename,accuracy_train,accuracy_test,hidden states T-3,hidden states T-2,hidden states T-1
0,0.580677820131938,2200,cognitive,5,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.3295106291770935,0.5100554823875427,0.5923151969909668
0,0.7396939114861151,1207,cognitive,6,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.32963770627975464,0.464912474155426,0.5100553035736084
0,0.5777443273018328,2026,cognitive,6,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.33005812764167786,0.46532902121543884,0.5132144093513489
0,0.5160935926385616,994,cognitive,7,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.2902633845806122,0.4593863785266876,0.5349794626235962
0,0.512672740785577,2239,cognitive,7,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.28812745213508606,0.4517526626586914,0.5362464785575867
0,0.5305176148972671,1209,cognitive,8,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.32030120491981506,0.4812467098236084,0.5441606044769287
0,0.5149404091559843,2024,cognitive,8,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.319865882396698,0.4793470501899719,0.546206533908844
0,0.7775320419030978,1338,cognitive,10,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.3609826862812042,0.5314352512359619,0.5950260162353516
0,0.6544808621332894,1895,cognitive,10,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.35856732726097107,0.5364494919776917,0.5960236191749573
0,0.5479939217115435,1268,cognitive,11,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.309763103723526,0.4798930585384369,0.5523866415023804
0,0.522063834895906,1965,cognitive,11,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.3141440451145172,0.4803537428379059,0.557162344455719
0,0.6281946308132663,1108,cognitive,12,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.3527555465698242,0.5264264345169067,0.5909555554389954
0,0.5567828699245334,2125,cognitive,12,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.3534374237060547,0.5282900333404541,0.5910516977310181
0,0.6088255425522947,950,cognitive,13,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.17695778608322144,0.29891306161880493,0.3786204159259796
0,0.5705620385210072,2283,cognitive,13,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.17202167212963104,0.29018646478652954,0.37310466170310974
0,0.4952363727130762,998,cognitive,14,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.3009341061115265,0.47280603647232056,0.5505014657974243
0,0.5133061439267457,2235,cognitive,14,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.3024117350578308,0.46588486433029175,0.5453479290008545
0,0.5511137276344736,1436,cognitive,15,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.17940272390842438,0.30876630544662476,0.3994603157043457
0,0.537424840569313,1797,cognitive,15,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.17109981179237366,0.3045147955417633,0.38863852620124817
0,0.8669242090863424,1252,cognitive,9,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,0,0.32635974884033203,0.45482584834098816,0.4984802007675171
0,0.7901454191614163,1981,cognitive,9,../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,0,1,0.3264331817626953,0.45501020550727844,0.49871015548706055
0,0.6399318609022556,22,cognitive,1,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.32090574502944946,0.4831697642803192,0.5718040466308594
0,0.49175968652368085,31,cognitive,1,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3343508541584015,0.5313356518745422,0.6065346002578735
0,0.4993799603174603,13,cognitive,2,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.3550604581832886,0.5210756659507751,0.573979914188385
0,0.5533772402842612,40,cognitive,2,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3013811707496643,0.4897197186946869,0.58533775806427
0,0.4681919642857143,29,cognitive,3,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.36094120144844055,0.539335310459137,0.6230316758155823
0,0.5702257301522008,24,cognitive,3,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.33394360542297363,0.5185568928718567,0.5806657075881958
0,0.4447206351418308,28,cognitive,4,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.28167495131492615,0.4606100022792816,0.5532069802284241
0,0.4765959282263631,25,cognitive,4,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.24572761356830597,0.420889288187027,0.5104174613952637
0,0.7199896646228168,21,cognitive,5,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.35504642128944397,0.5424050688743591,0.6223745346069336
0,0.5505990579333164,32,cognitive,5,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.35891857743263245,0.5292194485664368,0.585902214050293
0,0.6113031270200388,14,cognitive,6,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.27573055028915405,0.4595434367656708,0.5444002747535706
0,0.46512354067501127,39,cognitive,6,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2835993766784668,0.4482313394546509,0.5451668500900269
0,0.4014690447645447,30,cognitive,7,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.2594827115535736,0.4156993329524994,0.5062447190284729
0,0.357293035911457,23,cognitive,7,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.21589212119579315,0.38921090960502625,0.5027334094047546
0,0.5597989470272079,20,cognitive,8,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.36231836676597595,0.5652387738227844,0.6301294565200806
0,0.46759453781512605,33,cognitive,8,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3506547212600708,0.5403477549552917,0.629109799861908
0,0.5445221445221445,12,cognitive,10,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.2812611758708954,0.39106836915016174,0.49307534098625183
0,0.48319215506715507,41,cognitive,10,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2045622169971466,0.3916434645652771,0.5042867660522461
0,0.5974702380952381,25,cognitive,11,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.3442021608352661,0.5321285724639893,0.617732048034668
0,0.4302074748535729,28,cognitive,11,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3290167450904846,0.5247542858123779,0.6055973768234253
0,0.6286210317460317,18,cognitive,12,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.33606258034706116,0.47155311703681946,0.5555343627929688
0,0.6468827420562901,35,cognitive,12,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3394978642463684,0.49695029854774475,0.5349471569061279
0,0.3889754363283775,23,cognitive,13,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.2231287956237793,0.3637940287590027,0.42254963517189026
0,0.4652061624717875,30,cognitive,13,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.18035387992858887,0.3166808485984802,0.4465588331222534
0,0.5772997835497836,19,cognitive,14,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.33448466658592224,0.5004171133041382,0.5999177098274231
0,0.5305256883920677,34,cognitive,14,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.34033945202827454,0.5205621123313904,0.5739491581916809
0,0.5854822261072261,23,cognitive,15,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.30797407031059265,0.5091637969017029,0.5937936305999756
0,0.39807733265971257,30,cognitive,15,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.34167733788490295,0.5203486084938049,0.6075332760810852
0,0.4010167283696695,24,cognitive,16,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.3188922703266144,0.5178294777870178,0.5953884720802307
0,0.37884266051461907,29,cognitive,16,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.32765957713127136,0.5163131356239319,0.6215720176696777
0,0.32064144736842104,18,cognitive,17,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.27105411887168884,0.441516250371933,0.5812053084373474
0,0.47647000514647575,35,cognitive,17,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.29464268684387207,0.48002710938453674,0.5606291890144348
0,0.4814905830753354,21,cognitive,18,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.266195148229599,0.41843074560165405,0.525147020816803
0,0.45414791730009124,32,cognitive,18,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2271120548248291,0.39200133085250854,0.4983372092247009
0,0.7570640432098765,29,cognitive,19,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.36936336755752563,0.5572934150695801,0.6353951096534729
0,0.8098818474758325,24,cognitive,19,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.37157464027404785,0.5625866055488586,0.6107110381126404
0,0.6364252645502646,25,cognitive,20,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.35356390476226807,0.5505186915397644,0.6250715851783752
0,0.4860277653381102,28,cognitive,20,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3584384322166443,0.5534061789512634,0.6340243220329285
0,0.3881448412698413,13,cognitive,21,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.23998460173606873,0.4291893243789673,0.5174920558929443
0,0.5017018265639589,40,cognitive,21,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2987883985042572,0.48165541887283325,0.5819328427314758
0,0.5018488455988456,14,cognitive,22,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.19428279995918274,0.4064684510231018,0.5125674605369568
0,0.4163113333395936,39,cognitive,22,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2969486713409424,0.45897865295410156,0.5597920417785645
0,0.7637400793650794,13,cognitive,23,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.35615068674087524,0.5194883346557617,0.5940741896629333
0,0.6411905948742794,40,cognitive,23,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3597688376903534,0.5433191061019897,0.6054052114486694
0,0.5401278409090909,8,cognitive,24,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.3026943802833557,0.5152051448822021,0.6085805296897888
0,0.4678419535125462,45,cognitive,24,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2969159781932831,0.46939560770988464,0.5562310814857483
0,0.7011312441643324,22,cognitive,25,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.35260775685310364,0.5106489658355713,0.5996496677398682
0,0.5400828331332533,31,cognitive,25,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3546684682369232,0.547903835773468,0.5976338386535645
0,0.5059346203260677,17,cognitive,26,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.22658637166023254,0.3667997717857361,0.5194531679153442
0,0.4699383406279958,36,cognitive,26,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2971445620059967,0.4931802749633789,0.5714429020881653
0,0.4708333333333333,10,cognitive,27,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.20569315552711487,0.403703510761261,0.4510325789451599
0,0.5182253338632277,43,cognitive,27,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.19639191031455994,0.3183920681476593,0.4228019416332245
0,0.4978535353535354,8,cognitive,28,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.21199330687522888,0.40113359689712524,0.5002091526985168
0,0.5063758457928627,45,cognitive,28,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2669713795185089,0.4346790611743927,0.5427634716033936
0,0.5185969858429174,34,cognitive,29,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.3627185523509979,0.543066680431366,0.61777263879776
0,0.48759469696969693,19,cognitive,29,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3532066345214844,0.5580857396125793,0.6317195892333984
0,0.5149305555555556,7,cognitive,30,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.29939812421798706,0.43061700463294983,0.540668785572052
0,0.5642444507553018,46,cognitive,30,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.25998666882514954,0.42422398924827576,0.5154497623443604
0,0.3052173520923521,11,cognitive,31,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.15157179534435272,0.31002941727638245,0.4286578893661499
0,0.5202947388632873,42,cognitive,31,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.23468758165836334,0.3797104060649872,0.4786098599433899
0,0.3857181166230795,20,cognitive,32,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.2825321555137634,0.449219286441803,0.5488532781600952
0,0.3725370079793704,33,cognitive,32,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2289336621761322,0.37617650628089905,0.4546261727809906
0,0.48320671470342524,18,cognitive,33,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.3262886703014374,0.49754270911216736,0.5652428865432739
0,0.45732690249589114,35,cognitive,33,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.29951176047325134,0.4892212450504303,0.5978959202766418
0,0.48246527777777776,20,cognitive,34,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.35450613498687744,0.5540528297424316,0.6378102898597717
0,0.40346996753246755,33,cognitive,34,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.3344021737575531,0.524290919303894,0.612421452999115
0,0.4067821069657588,28,cognitive,35,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.3192814290523529,0.4924461841583252,0.5825690627098083
0,0.42314966434531653,25,cognitive,35,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2619960904121399,0.42686957120895386,0.5084390044212341
0,0.4297749329130908,26,cognitive,36,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.2567175626754761,0.43973204493522644,0.5451362133026123
0,0.39484019807323234,27,cognitive,36,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.28780752420425415,0.4542240500450134,0.5556874871253967
0,0.41497564935064934,19,cognitive,37,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.3073301315307617,0.4748372435569763,0.549338698387146
0,0.5355131442631442,34,cognitive,37,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.24589423835277557,0.4103809893131256,0.5199689269065857
0,0.4353298611111111,14,cognitive,38,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,0,0.3169540464878082,0.5310202836990356,0.5930845141410828
0,0.4378890282422891,39,cognitive,38,../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,0,1,0.2917945086956024,0.4679550230503082,0.5783021450042725
