"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Coherence","Accuracy","Training","cond","Int.Block","five_s_to","exclude_subj"
101,0,"0",20,1.81152180639515,0.518148022368783,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",30,2.99838619846478,1.11820990589168,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,1.89060230780276,0.68296406982257,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",40,2.39807013969054,0.666926879334962,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,1.78666727040848,0.801759605152998,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",30,2.05916668553348,0.682901280686958,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.64404778615478,0.483550001131836,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,0,"1",20,2.09397329952382,0.850203536417102,0.128,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.68173847419373,0.349650056223618,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.57301123714237,0.366885975835146,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,0,"1",20,2.59913936622231,0.534427011403255,0.128,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,3.1924290792183,0.51462730270857,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,3.20115465598041,0.535605213309405,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",40,2.42940040903515,0.714145214969525,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,3.2613063460798,0.517044986302732,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,2.76081837185938,0.517589561306173,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,3.14402257993887,1.18238704370335,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,4.20520727206883,0.76818613356282,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,3.44168655240862,0.998946470752358,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,3.41052955692913,0.565575554498937,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",40,2.78632434512884,0.467164149818476,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",30,3.10421577727981,1.03258273147861,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,3.29508086365252,0.501208539926214,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,0,"1",20,2.58529919174057,0.466382304331055,0.256,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,2.27175802033115,0.847234334789915,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,3.51399609077256,1.18711977480422,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,3.93788826250681,0.949973359897733,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,3.90910336812376,1.01690476729581,0.256,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",50,1.48314156987914,0.499092123434879,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.84386666364805,0.516645309304819,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,2.79796116431593,0.599021032850957,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",40,2.50324254567642,0.499300112446537,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,2.82019455575896,0.882515791618498,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,2.99067611522437,1.33114024164737,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,4.22493483363185,1.11664500743337,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",30,1.96672870112536,0.682108265978051,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,2.91452044042945,0.781890164293116,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",30,3.39509973058011,1.00313311749534,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,1.54027907959581,0.33268491475936,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,2.64804334865301,0.551220388356596,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,1.87866965518845,0.467459077633917,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,2.91119986113976,0.433212735931156,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"1",20,2.48909355732123,0.617948334805202,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"1",20,3.52761680515017,0.814371769038495,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",50,1.66587093512039,0.433129117706791,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,1.69825382809946,0.851372380327201,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,2.38176518976386,0.483146399813006,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",40,1.91872942561517,0.501735002679285,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,1.30855788750784,1.45262755929912,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,2.75870074788504,0.518354502026457,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",30,2.17820371753955,0.683776404265547,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,2.76898095949623,0.500150180745171,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,2.76808621431305,0.503041801565327,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,2.01137298406847,0.584779973888304,0.032,1,0,"Expt","Pre",TRUE,FALSE
101,0,"0",40,1.75101330495765,0.433417404363398,0.064,1,0,"Expt","Pre",TRUE,FALSE
101,1,"1",20,2.14183099760721,0.752885507935192,0.128,1,0,"Expt","Pre",TRUE,FALSE
101,0,"1",20,2.66172383345803,0.465758337295614,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",30,1.49751545201428,0.735819843479898,0.256,1,0,"Expt","Pre",TRUE,FALSE
101,0,"1",20,2.87136015455797,0.419118989940267,0.064,0,0,"Expt","Pre",TRUE,FALSE
101,1,"0",20,3.1673055763091,0.516196125487331,0.032,0,0,"Expt","Pre",TRUE,FALSE
101,0,"0",20,3.26544801406749,0.734897628049832,0.128,1,0,"Expt","Pre",TRUE,FALSE
