accuracy_train,condition,coefficient,intercept,confidence
correct trials,"T-3,T-2,T-1",-0.04109942090658334,-0.10035067088395078,0
correct trials,"T-3,T-2,T-1",-0.042905237290743255,-0.10280889759706599,0
correct trials,"T-3,T-2,T-1",-0.04773981014332526,-0.10102449714803793,0
correct trials,"T-3,T-2,T-1",-0.044946906605132106,-0.09623596184849649,0
correct trials,"T-3,T-2,T-1",-0.04490067676245677,-0.09965285047923408,0
correct trials,"T-3,T-2,T-1",-0.04577802649115037,-0.10329538810989547,0
correct trials,"T-3,T-2,T-1",-0.04604060310451586,-0.0978628265283375,0
correct trials,"T-3,T-2,T-1",-0.04604052518158715,-0.0978575138407937,0
correct trials,"T-3,T-2,T-1",-0.046042678161260446,-0.09814655715663839,0
correct trials,"T-3,T-2,T-1",-0.046488105204503256,-0.09481658065646814,0
correct trials,"T-3,T-2,T-1",-0.04584261763249911,-0.10027699885287009,0
correct trials,"T-3,T-2,T-1",-0.0471792818663514,-0.09921960625893722,0
correct trials,"T-3,T-2,T-1",-0.04839082147883505,-0.09816355232198934,0
correct trials,"T-3,T-2,T-1",-0.047581218660442966,-0.09899000449101025,0
correct trials,"T-3,T-2,T-1",-0.046811975621519335,-0.09643305737264776,0
correct trials,"T-3,T-2,T-1",-0.047170309210996235,-0.09819744051978546,0
correct trials,"T-3,T-2,T-1",-0.01544272930029767,-0.05817542603203455,1
correct trials,"T-3,T-2,T-1",-0.019690918768348924,-0.053184067882082006,1
correct trials,"T-3,T-2,T-1",-0.019485818614428916,-0.05211971661296619,1
correct trials,"T-3,T-2,T-1",-0.019389197956869074,-0.05431301465733814,1
correct trials,"T-3,T-2,T-1",-0.020502052682650374,-0.05326577943508287,1
correct trials,"T-3,T-2,T-1",-0.01941244168041506,-0.0547862400515728,1
correct trials,"T-3,T-2,T-1",-0.0196817540944228,-0.053938148652120196,1
correct trials,"T-3,T-2,T-1",-0.01967968931803859,-0.053931622279113973,1
correct trials,"T-3,T-2,T-1",-0.02014299198903841,-0.05169266750954962,1
correct trials,"T-3,T-2,T-1",-0.021551178790595347,-0.05079613897160397,1
correct trials,"T-3,T-2,T-1",-0.020968051614677217,-0.05520631908299156,1
correct trials,"T-3,T-2,T-1",-0.02049522305782293,-0.05463672053530873,1
correct trials,"T-3,T-2,T-1",-0.02027947651740666,-0.05013904003547505,1
correct trials,"T-3,T-2,T-1",-0.018189713970728452,-0.052911200465669564,1
correct trials,"T-3,T-2,T-1",-0.020212564524745017,-0.05465063178561087,1
correct trials,"T-3,T-2,T-1",-0.02013905967235289,-0.05092967983462857,1
correct trials,"T-3,T-2,T-1",0.00016861457858666253,0.015788778425367585,2
correct trials,"T-3,T-2,T-1",-0.0011967751182398838,0.016714001345266308,2
correct trials,"T-3,T-2,T-1",-4.101865778095288e-05,0.018772801437342793,2
correct trials,"T-3,T-2,T-1",-0.00013562146340436243,0.015548490538416195,2
correct trials,"T-3,T-2,T-1",-0.00021275939839134774,0.0175918264044259,2
correct trials,"T-3,T-2,T-1",-0.00029157023786900217,0.019447957727939887,2
correct trials,"T-3,T-2,T-1",-0.00020908586111139762,0.01682478680459453,2
correct trials,"T-3,T-2,T-1",-0.00020960834460278073,0.01684118131970119,2
correct trials,"T-3,T-2,T-1",0.0002663112061390933,0.022889394455126187,2
correct trials,"T-3,T-2,T-1",-0.0003893078088833318,0.009473832135573486,2
correct trials,"T-3,T-2,T-1",-0.00021626543513740944,0.015708591539367746,2
correct trials,"T-3,T-2,T-1",-0.00018709700645868436,0.01686827113343421,2
correct trials,"T-3,T-2,T-1",-9.690618835065449e-05,0.016248714880287295,2
correct trials,"T-3,T-2,T-1",-0.0001656077982434336,0.025135496494328724,2
correct trials,"T-3,T-2,T-1",-0.00027720848287950584,0.016372463563987808,2
correct trials,"T-3,T-2,T-1",-0.00012849297808014003,0.018847455627099326,2
correct trials,"T-3,T-2,T-1",0.05717393527179721,0.145022978266164,3
correct trials,"T-3,T-2,T-1",0.07349816605810444,0.13027109597372052,3
correct trials,"T-3,T-2,T-1",0.07581655301101156,0.1350868532251403,3
correct trials,"T-3,T-2,T-1",0.07352356608952382,0.13165595257836013,3
correct trials,"T-3,T-2,T-1",0.07371960995095399,0.12939260709917333,3
correct trials,"T-3,T-2,T-1",0.07415994082176186,0.1364268460240161,3
correct trials,"T-3,T-2,T-1",0.07446715866451648,0.13054961397761808,3
correct trials,"T-3,T-2,T-1",0.07446886502173333,0.13051744703287457,3
correct trials,"T-3,T-2,T-1",0.07545042163475692,0.12773206355066852,3
correct trials,"T-3,T-2,T-1",0.07790497633298211,0.1265804378057795,3
correct trials,"T-3,T-2,T-1",0.07514853344155911,0.13415479357166932,3
correct trials,"T-3,T-2,T-1",0.07750652129135586,0.13418817170072495,3
correct trials,"T-3,T-2,T-1",0.07684381842903845,0.13253824877601458,3
correct trials,"T-3,T-2,T-1",0.07647286498464788,0.13017681782752805,3
correct trials,"T-3,T-2,T-1",0.0769748092636015,0.13069651926008258,3
correct trials,"T-3,T-2,T-1",0.07712419556296593,0.12900136427509343,3
correct trials,"T-7,T-6,T-5",-0.007551477444146698,-0.10620946813056557,0
correct trials,"T-7,T-6,T-5",-0.012499968758370398,-0.10260688928016141,0
correct trials,"T-7,T-6,T-5",-0.013351278691436215,-0.10226133625315165,0
correct trials,"T-7,T-6,T-5",-0.012802556395856498,-0.0973416946027432,0
