accuracy_train,coefficient,intercept,confidence
correct trials,-0.01789982473383698,-0.025453701672067987,0
correct trials,-0.018692644017510168,-0.024828009904333703,0
correct trials,-0.01968112475111752,-0.022256473679635597,0
correct trials,-0.01844724347206294,-0.022442834423747553,0
correct trials,-0.01899178550697927,-0.022328453562436262,0
correct trials,-0.019458111754926965,-0.023734287958713435,0
correct trials,-0.01901479659920333,-0.02181674767303736,0
correct trials,-0.019013183159186715,-0.021818600110726317,0
correct trials,-0.018971276588147356,-0.02212702626439765,0
correct trials,-0.018665161656017712,-0.021444353420924975,0
correct trials,-0.019256685492482703,-0.022113660309045075,0
correct trials,-0.019430394540454626,-0.02159268350027843,0
correct trials,-0.01957201958955701,-0.02096109086835793,0
correct trials,-0.01928290462876935,-0.02237820990442098,0
correct trials,-0.019094172953812123,-0.020843311223047625,0
correct trials,-0.019416301268176825,-0.02085807991555849,0
correct trials,-0.008909183666923665,-0.014911191856426677,1
correct trials,-0.009833862106508579,-0.010072712049848491,1
correct trials,-0.00977587154992081,-0.009243816916593726,1
correct trials,-0.00998550821847633,-0.010052357082503467,1
correct trials,-0.01010072280091812,-0.009447077083980553,1
correct trials,-0.01001536593290459,-0.010216963866248381,1
correct trials,-0.009890265551267218,-0.010329430956762909,1
correct trials,-0.009889456329669482,-0.010326303951836632,1
correct trials,-0.009822062772319931,-0.009314454599008266,1
correct trials,-0.009815749230479499,-0.009549529026127965,1
correct trials,-0.01040743457359981,-0.009852228400875265,1
correct trials,-0.010293466578038514,-0.009584893639768222,1
correct trials,-0.009888738161230762,-0.007816351753028711,1
correct trials,-0.009409997831663628,-0.010925150099447868,1
correct trials,-0.01035884488624816,-0.009106882591927008,1
correct trials,-0.009866570865334585,-0.008416873265473683,1
correct trials,0.0016737920877844348,0.003798641587325724,2
correct trials,0.00033268484008918775,0.009932972815205157,2
correct trials,0.0011859097784603636,0.007937557630080402,2
correct trials,0.0007736824036528562,0.007816875763908607,2
correct trials,0.0007314119037535983,0.00925064485067905,2
correct trials,0.0010487871159345317,0.009113195459065093,2
correct trials,0.0007729893338114592,0.008465095239684013,2
correct trials,0.0007728822155201162,0.008476030962310747,2
correct trials,0.0015228566197719715,0.009985226449611221,2
correct trials,-4.6496217554372856e-05,0.0068672482870028835,2
correct trials,0.0006731147220669149,0.007921321058736167,2
correct trials,0.0007630921791235196,0.008519771602201385,2
correct trials,0.0009296356299984856,0.00725909201083586,2
correct trials,0.001821017331817488,0.009877441632138356,2
correct trials,0.0008248916680545133,0.007808956087552405,2
correct trials,0.0010303820006316252,0.008728854861981591,2
correct trials,0.024656050471430453,0.0396313380522091,3
correct trials,0.027986614031819054,0.02553209255683135,3
correct trials,0.02904377785288565,0.025571032407233504,3
correct trials,0.02824281625094426,0.0247791791752279,3
correct trials,0.028409675745906793,0.022689691719269267,3
correct trials,0.02895569403448092,0.02569306038275275,3
correct trials,0.0283958969403034,0.02423230444261175,3
correct trials,0.02839339870051604,0.0242212036114456,3
correct trials,0.028506431959039336,0.022194261735622445,3
correct trials,0.028582087358059574,0.022538335367381118,3
correct trials,0.029094418074436697,0.023980610545248124,3
correct trials,0.029545647666187853,0.023654182902453746,3
correct trials,0.029280509835521856,0.02297891588659555,3
correct trials,0.028674096021896568,0.024181006197837376,3
correct trials,0.02906917339940907,0.02285970337086779,3
correct trials,0.02904544588896442,0.021580031557737966,3
incorrect trials,-0.017303323635545303,-0.026943030547554425,0
incorrect trials,-0.018028785442140795,-0.02661756179824106,0
incorrect trials,-0.019009021951441482,-0.023962054611675637,0
incorrect trials,-0.018287398773918096,-0.022374412112281652,0
incorrect trials,-0.0182820268234534,-0.024232952734723756,0
incorrect trials,-0.01881692233671813,-0.025380893803248178,0
incorrect trials,-0.01834697998531564,-0.0235526733888023,0
incorrect trials,-0.018349546962827357,-0.02354147073664288,0
incorrect trials,-0.018316658145720394,-0.0239046299974955,0
