accuracy_train,condition,coefficient,ps,confidence
correct trials,"T-3,T-2,T-1",-0.04620774502196952,9.999000099990002e-05,0
correct trials,"T-3,T-2,T-1",-0.01964046711852329,9.999000099990002e-05,1
correct trials,"T-3,T-2,T-1",-0.00020811611246087332,0.998000199980002,2
correct trials,"T-3,T-2,T-1",0.07434769389579168,9.999000099990002e-05,3
correct trials,"T-7,T-6,T-5",-0.013027076043869875,9.999000099990002e-05,0
correct trials,"T-7,T-6,T-5",-0.008624264394515512,9.999000099990002e-05,1
correct trials,"T-7,T-6,T-5",-0.00043869144439746436,0.9821017898210179,2
correct trials,"T-7,T-6,T-5",0.02403586479144999,9.999000099990002e-05,3
incorrect trials,"T-3,T-2,T-1",-0.047937489064815146,9.999000099990002e-05,0
incorrect trials,"T-3,T-2,T-1",-0.020699700461283596,9.999000099990002e-05,1
incorrect trials,"T-3,T-2,T-1",0.0002050484029503712,0.9971002899710029,2
incorrect trials,"T-3,T-2,T-1",0.0748554814632786,9.999000099990002e-05,3
incorrect trials,"T-7,T-6,T-5",-0.010920451745143965,9.999000099990002e-05,0
incorrect trials,"T-7,T-6,T-5",-0.008050541093263818,0.00019998000199980003,1
incorrect trials,"T-7,T-6,T-5",-0.00038969020003333787,0.9985001499850015,2
incorrect trials,"T-7,T-6,T-5",0.02048204771332788,9.999000099990002e-05,3
