accuracy_train,coefficient,ps,confidence
correct trials,-0.016402829457476797,9.999000099990002e-05,0
correct trials,-0.008418480381845945,9.999000099990002e-05,1
correct trials,-0.00048618842487551956,1.0,2
correct trials,0.02674069275096127,9.999000099990002e-05,3
incorrect trials,-0.01570712526062383,9.999000099990002e-05,0
incorrect trials,-0.009119700411944215,9.999000099990002e-05,1
incorrect trials,-0.00029918456641627735,1.0,2
incorrect trials,0.026665851801766578,9.999000099990002e-05,3
