accuracy_train,accuracy_test,slopes,intercepts
correct trials,correct trials,0.005979714072054033,-0.00048374418716561757
correct trials,correct trials,0.007030272140336567,-0.0012095026863856162
correct trials,correct trials,0.006862062251287701,-0.0005460855104600544
correct trials,correct trials,0.00704809856364656,-0.0012611985420421835
correct trials,correct trials,0.007170465120152068,-0.0010351491874355696
correct trials,correct trials,0.006408443511956343,0.00014030861091699973
correct trials,correct trials,0.006834969500632279,-0.0010808397251779074
correct trials,correct trials,0.006905393412996356,-0.0007043672966757647
correct trials,correct trials,0.0067499335815529625,-0.0011488698057596503
correct trials,correct trials,0.006913092601719186,-0.0009404164533711144
correct trials,correct trials,0.00663570495196988,-0.0003036998536069882
correct trials,correct trials,0.006963843633871586,-0.0013594686663652676
correct trials,correct trials,0.0066551183476037,-0.0010812218647762786
correct trials,correct trials,0.006941239580327679,-0.0010757087314761382
correct trials,correct trials,0.006987743912282465,-0.0009614451026653918
correct trials,correct trials,0.006770774184623254,-0.0012007773201268383
correct trials,incorrect trials,0.0048201616403626465,-4.021125500718557e-05
correct trials,incorrect trials,0.005060248369287127,0.00020215208487710246
correct trials,incorrect trials,0.005031855439449835,0.00013071987509349035
correct trials,incorrect trials,0.005115377618302988,-0.0001148884997189941
correct trials,incorrect trials,0.005215561701898449,0.00011037957001196891
correct trials,incorrect trials,0.004513520423515481,0.000669691379800056
correct trials,incorrect trials,0.005020913840172519,0.0005281541059673923
correct trials,incorrect trials,0.004972007613761295,0.0005470784341876471
correct trials,incorrect trials,0.00498220128323451,-0.0008065942531400808
correct trials,incorrect trials,0.0050008765630587745,2.2516982420613812e-06
correct trials,incorrect trials,0.004785303144628883,0.0007303233256090603
correct trials,incorrect trials,0.005019676775435053,0.0006248912814526796
correct trials,incorrect trials,0.004716981583855367,7.333050485694263e-05
correct trials,incorrect trials,0.005174974561268504,0.00020244378130166232
correct trials,incorrect trials,0.004878878011933179,0.0005705882409191235
correct trials,incorrect trials,0.004902930842378103,0.0001498283335652599
incorrect trials,correct trials,0.005615844881815623,-0.0018401723530311297
incorrect trials,correct trials,0.006644333563199436,-0.0029350535850174303
incorrect trials,correct trials,0.006594366685249961,-0.002765215665581515
incorrect trials,correct trials,0.006705666579893364,-0.0031992961335478957
incorrect trials,correct trials,0.00682058319319207,-0.0031279328974279236
incorrect trials,correct trials,0.006079644642854073,-0.0022344393176082916
incorrect trials,correct trials,0.006510008841848443,-0.0028358431947282416
incorrect trials,correct trials,0.0065919373075710675,-0.0029537824839686935
incorrect trials,correct trials,0.0064807094964517585,-0.002597669177699418
incorrect trials,correct trials,0.0064815614590011585,-0.0025736739391447536
incorrect trials,correct trials,0.006346358888686681,-0.0023618762656033992
incorrect trials,correct trials,0.006557675130674157,-0.0025899382854050815
incorrect trials,correct trials,0.00639277820019648,-0.002532111326749669
incorrect trials,correct trials,0.006629217503809508,-0.0028169105719749628
incorrect trials,correct trials,0.006643847444020206,-0.0027579242072740436
incorrect trials,correct trials,0.006465189924659145,-0.002766711271337017
incorrect trials,incorrect trials,0.0049075063220396405,-0.0021779904182591247
incorrect trials,incorrect trials,0.005101883679499048,-0.0021880096174133144
incorrect trials,incorrect trials,0.005151691747305846,-0.0018679903501777253
incorrect trials,incorrect trials,0.0051501768106628956,-0.0023410288583386625
incorrect trials,incorrect trials,0.005182948078970119,-0.002229526642826477
incorrect trials,incorrect trials,0.004562890482367507,-0.0013278202914996304
incorrect trials,incorrect trials,0.004910691634710713,-0.0018179307523257995
incorrect trials,incorrect trials,0.00499452734249772,-0.001615186086782936
incorrect trials,incorrect trials,0.004955429087507549,-0.001941442655422218
incorrect trials,incorrect trials,0.004961545308151618,-0.002113970714309521
incorrect trials,incorrect trials,0.004906942967499629,-0.0019066069854024054
incorrect trials,incorrect trials,0.00497630167090948,-0.002196495332038471
incorrect trials,incorrect trials,0.004787617623180143,-0.001844967735710818
incorrect trials,incorrect trials,0.005242362048254444,-0.0019752798852324723
incorrect trials,incorrect trials,0.004898946122521257,-0.0018683526574939588
incorrect trials,incorrect trials,0.004991279682458113,-0.002430852087674436
