accuracy_train,accuracy_test,coefficients,pval
correct trials,correct trials,0.006803554335438288,9.999000099990002e-05
correct trials,incorrect trials,0.00495071683828392,9.999000099990002e-05
incorrect trials,correct trials,0.006472482733945196,9.999000099990002e-05
incorrect trials,incorrect trials,0.004980171288033483,9.999000099990002e-05
