condition,coefficient,intercept,adequacy
"T-3,T-2,T-1",-0.004374172018677717,-0.056633489776144984,0
"T-3,T-2,T-1",-0.005060287398755879,-0.06188932926598383,0
"T-3,T-2,T-1",-0.003505687595834554,-0.06228644817506636,0
"T-3,T-2,T-1",-0.0031740378516514614,-0.05930035350926417,0
"T-3,T-2,T-1",-0.003753348595201526,-0.05957282934289256,0
"T-3,T-2,T-1",-0.0033877393405453904,-0.06193428113719144,0
"T-3,T-2,T-1",-0.003912116181137515,-0.05811760872434343,0
"T-3,T-2,T-1",-0.004251107674024202,-0.060786339122305674,0
"T-3,T-2,T-1",-0.005903595175632057,-0.05932185257023077,0
"T-3,T-2,T-1",-0.004659061758020365,-0.06102261360507071,0
"T-3,T-2,T-1",-0.003968967566378297,-0.06197631345837053,0
"T-3,T-2,T-1",-0.005594613468538251,-0.0634245960771721,0
"T-3,T-2,T-1",-0.003442791672301784,-0.05821682185436586,0
"T-3,T-2,T-1",-0.0035255442039756097,-0.06092973904369308,0
"T-3,T-2,T-1",-0.0036779236776858537,-0.06215132625449167,0
"T-3,T-2,T-1",-0.007967892910734778,-0.04489527016052149,1
"T-3,T-2,T-1",-0.008779347824417432,-0.04437219957605819,1
"T-3,T-2,T-1",-0.008193045270043402,-0.044207790018420894,1
"T-3,T-2,T-1",-0.009042889818261242,-0.04422239027937661,1
"T-3,T-2,T-1",-0.008519135905718272,-0.04386520075101938,1
"T-3,T-2,T-1",-0.008584402666229812,-0.044343525283043,1
"T-3,T-2,T-1",-0.00838832513842813,-0.044345694147415265,1
"T-3,T-2,T-1",-0.008724451194556762,-0.04195365955091566,1
"T-3,T-2,T-1",-0.010477332474147963,-0.04113613356902657,1
"T-3,T-2,T-1",-0.009050908629125795,-0.04622588665027378,1
"T-3,T-2,T-1",-0.008952540553071268,-0.04491745744724508,1
"T-3,T-2,T-1",-0.010354531654429473,-0.04553269466676922,1
"T-3,T-2,T-1",-0.007346771397959103,-0.04177914677562776,1
"T-3,T-2,T-1",-0.009163143317730974,-0.0443290157725922,1
"T-3,T-2,T-1",-0.009221426321669848,-0.04246402559038208,1
"T-3,T-2,T-1",-0.0031970368312436233,-0.007321339159134025,2
"T-3,T-2,T-1",-0.005384237003316379,-0.0046865601522034185,2
"T-3,T-2,T-1",-0.0051219744307177744,-0.003365634521992628,2
"T-3,T-2,T-1",-0.005336598565433923,-0.0059749023181657895,2
"T-3,T-2,T-1",-0.00542650505593279,-0.004368930864314178,2
"T-3,T-2,T-1",-0.0038797698984060973,-0.005081820670526727,2
"T-3,T-2,T-1",-0.005719740760786551,-0.005198066837897324,2
"T-3,T-2,T-1",-0.005709163605270044,0.0006568548123075772,2
"T-3,T-2,T-1",-0.004746178166212852,-0.008710957138334086,2
"T-3,T-2,T-1",-0.004816568808953889,-0.005506044238908673,2
"T-3,T-2,T-1",-0.005444348381963376,-0.004298783157422071,2
"T-3,T-2,T-1",-0.005205594626761166,-0.0046808770412180446,2
"T-3,T-2,T-1",-0.005813634888484616,0.0020234272700529682,2
"T-3,T-2,T-1",-0.005768662561053153,-0.0041741843636807306,2
"T-3,T-2,T-1",-0.0057293790526699835,-0.0023632577937525547,2
"T-3,T-2,T-1",0.01716560418119799,0.08203366188050845,3
"T-3,T-2,T-1",0.020101713346196592,0.08213838623837372,3
"T-3,T-2,T-1",0.018638784425261266,0.0817525584325631,3
"T-3,T-2,T-1",0.018852556592182684,0.0818928366215457,3
"T-3,T-2,T-1",0.019288229247484637,0.0795896151420278,3
