condition,coefficient,intercept,adequacy
"T-3,T-2,T-1",0.01778342563188035,0.08323148812311625,3
"T-3,T-2,T-1",0.019277331677295634,0.07979639830251746,3
"T-3,T-2,T-1",0.019899804537634725,0.07805780651631253,3
"T-3,T-2,T-1",0.02134410633317633,0.07940724120559195,3
"T-3,T-2,T-1",0.019864964701237192,0.08394406547598499,3
"T-3,T-2,T-1",0.020011452502338697,0.08303589872182214,3
"T-3,T-2,T-1",0.021871650234061332,0.08492186764028763,3
"T-3,T-2,T-1",0.018786925035329624,0.07579800195896699,3
"T-3,T-2,T-1",0.019920231640093215,0.08127138776224867,3
"T-3,T-2,T-1",0.020146407989109664,0.07942201975742579,3
"T-7,T-6,T-5",-0.0006065536101385673,-0.051039063232959536,0
"T-7,T-6,T-5",-0.0009105620380960224,-0.0550625308235675,0
"T-7,T-6,T-5",-0.0011751551502937262,-0.05411011185277368,0
"T-7,T-6,T-5",-0.0010929511988947138,-0.049770480467470166,0
"T-7,T-6,T-5",-0.0011256968481416993,-0.05122744944559765,0
"T-7,T-6,T-5",-0.0011661493706290286,-0.053916193341656975,0
"T-7,T-6,T-5",-0.0010358525726913241,-0.05036601103314765,0
"T-7,T-6,T-5",-0.0010385477117125263,-0.05332468249930258,0
"T-7,T-6,T-5",-0.0009945711047730874,-0.052180395609355286,0
"T-7,T-6,T-5",-0.001099984543460312,-0.053815119637153686,0
"T-7,T-6,T-5",-0.0010107691206700485,-0.05400397575356032,0
"T-7,T-6,T-5",-0.0013135836024059178,-0.056203207416319796,0
"T-7,T-6,T-5",-0.000859796649326953,-0.05024523949539386,0
"T-7,T-6,T-5",-0.001059427678887021,-0.05243125943519711,0
"T-7,T-6,T-5",-0.001093086357754603,-0.05348225204692638,0
"T-7,T-6,T-5",-0.00044997162732118834,-0.0416419616237995,1
"T-7,T-6,T-5",-0.0011246111739302434,-0.03949264164029658,1
"T-7,T-6,T-5",-0.0008962949659924508,-0.03922928654251238,1
"T-7,T-6,T-5",-0.001144881221398877,-0.03958228433199172,1
"T-7,T-6,T-5",-0.0007980997598521102,-0.038746147149174695,1
"T-7,T-6,T-5",-0.0011060319901796123,-0.03960884683594803,1
"T-7,T-6,T-5",-0.001037225844646382,-0.039279464580048565,1
"T-7,T-6,T-5",-0.0010878241596685924,-0.03743790772035206,1
"T-7,T-6,T-5",-0.000940183258275666,-0.03706715001618385,1
"T-7,T-6,T-5",-0.001150621832503784,-0.040107558995520945,1
"T-7,T-6,T-5",-0.0010641199142644956,-0.03989134321221206,1
"T-7,T-6,T-5",-0.0012556881510549164,-0.04134219139948666,1
"T-7,T-6,T-5",-0.0012693034441382074,-0.03661501004907127,1
"T-7,T-6,T-5",-0.0010437376633185877,-0.03918273952839385,1
"T-7,T-6,T-5",-0.0009823755611076425,-0.03756766403527234,1
"T-7,T-6,T-5",-0.0002020316136225158,-0.005847663044489901,2
"T-7,T-6,T-5",-0.0006164648728377803,-0.0017529062591554302,2
"T-7,T-6,T-5",-0.00031226801868700115,-0.001446836276319668,2
"T-7,T-6,T-5",-0.0004503720200056747,-0.0037477371369658732,2
"T-7,T-6,T-5",-0.0005882812055345467,-0.0018349752119935425,2
"T-7,T-6,T-5",-0.0002334790711550007,-0.0013022425614816276,2
"T-7,T-6,T-5",-0.0004772059375576965,-0.0024753589452247353,2
"T-7,T-6,T-5",-0.0005519439951152898,0.002127890132638704,2
"T-7,T-6,T-5",-0.0005798195033160247,-0.005127489148537939,2
"T-7,T-6,T-5",-0.0003978621221856913,-0.0025743257336012866,2
"T-7,T-6,T-5",-0.00048709585431255315,-0.0016568338168708458,2
"T-7,T-6,T-5",-0.0003209981634726976,-0.002253590075892453,2
"T-7,T-6,T-5",-0.0003082215529197036,0.002508578868295146,2
"T-7,T-6,T-5",-0.0005323110633581111,-0.0020546551609450484,2
"T-7,T-6,T-5",-0.0004306042818226737,-0.00031841486416992035,2
"T-7,T-6,T-5",0.0010822041079356338,0.07726989435277767,3
"T-7,T-6,T-5",0.002971884638238306,0.07310976742140382,3
"T-7,T-6,T-5",0.002078986128190701,0.07347394972950934,3
"T-7,T-6,T-5",0.0026321757567697407,0.07172911118039198,3
"T-7,T-6,T-5",0.002810719086570133,0.06978490664654757,3
"T-7,T-6,T-5",0.00224024297588866,0.07333715724998975,3
"T-7,T-6,T-5",0.0026440879638403394,0.07025960702494952,3
"T-7,T-6,T-5",0.002858291339935915,0.06957851862909138,3
"T-7,T-6,T-5",0.002373525724024602,0.07059913336848588,3
"T-7,T-6,T-5",0.002824483428749071,0.07388994795702981,3
"T-7,T-6,T-5",0.0027323165046874848,0.07365380222913455,3
"T-7,T-6,T-5",0.0032420181880401956,0.07659231366620964,3
"T-7,T-6,T-5",0.0024310382523418587,0.0684164996807863,3
"T-7,T-6,T-5",0.0029088962005085765,0.07162015130268955,3
"T-7,T-6,T-5",0.0025815075394511155,0.07019735809869762,3
