accuracy_train,coefficient,ps,adequacy
correct trials,-0.004816068590507828,9.999000099990002e-05,0
correct trials,-0.0047483650886671796,9.999000099990002e-05,1
correct trials,-0.002723806006395577,9.999000099990002e-05,2
correct trials,0.009970121323365866,9.999000099990002e-05,3
incorrect trials,-0.004396880984019733,9.999000099990002e-05,0
incorrect trials,-0.005526342662950456,9.999000099990002e-05,1
incorrect trials,-0.002279214998476493,0.0013998600139986002,2
incorrect trials,0.009872748305752441,9.999000099990002e-05,3
