accuracy_train,coefficient,intercept,adequacy
correct trials,-0.004285773077685625,-0.02914351947084719,0
correct trials,-0.0049548789058983895,-0.030420799219345603,0
correct trials,-0.004753967337532749,-0.030500642745346206,0
correct trials,-0.004978986034751489,-0.027456950421124796,0
correct trials,-0.004843788002484843,-0.0287360135391294,0
correct trials,-0.004682417130882025,-0.030411892726320344,0
correct trials,-0.004754638375593497,-0.0288967854751406,0
correct trials,-0.004754502066016058,-0.028895449636895183,0
correct trials,-0.0048050575501595106,-0.029843397791432403,0
correct trials,-0.005469790129145721,-0.027778480984642525,0
correct trials,-0.0048976489870988975,-0.02963887517049167,0
correct trials,-0.004894909761140816,-0.02986063274787355,0
correct trials,-0.0047304251331622554,-0.028038071242204157,0
correct trials,-0.004377684510917467,-0.029820633543106167,0
correct trials,-0.0050565618551480845,-0.029512863713995027,0
correct trials,-0.004024104646418697,-0.02036458272264504,1
correct trials,-0.004775546724322141,-0.017462978791896393,1
correct trials,-0.004615282608691645,-0.01757588661027083,1
correct trials,-0.004754955168362221,-0.017901566349137206,1
correct trials,-0.00472729305828399,-0.01731889559507156,1
correct trials,-0.004676334252673742,-0.017776766838517664,1
correct trials,-0.004689797932602684,-0.017744023991926577,1
correct trials,-0.004689983681844782,-0.017737984410356185,1
correct trials,-0.004577924952542073,-0.016675467122561585,1
correct trials,-0.005175161325950466,-0.015201208320297532,1
correct trials,-0.005176250883373253,-0.01733980304503791,1
correct trials,-0.004887972125835368,-0.017485812618917188,1
correct trials,-0.005304475028483429,-0.017085523911006498,1
correct trials,-0.003959887524612736,-0.018438480028731954,1
correct trials,-0.0051905064160104875,-0.015402345004050726,1
correct trials,-0.001730609521258369,0.0031423895034431836,2
correct trials,-0.002983246876006106,0.008340316190390981,2
correct trials,-0.002604748931068744,0.007886573154584667,2
correct trials,-0.002706581014472777,0.006433604999252299,2
correct trials,-0.002872973630959804,0.008014120094384127,2
correct trials,-0.002710006024593814,0.00817281796230428,2
correct trials,-0.0028944466457560096,0.007835090381946175,2
correct trials,-0.002894331382684495,0.007846411567558704,2
correct trials,-0.0026058604480295364,0.010198959004123017,2
correct trials,-0.002862889585959001,0.005919842161302108,2
correct trials,-0.002786616111686925,0.007334733257185089,2
correct trials,-0.0029318069303691328,0.008344466350818964,2
correct trials,-0.003095634498054253,0.00531445102831017,2
correct trials,-0.0021899500218209218,0.009086765276442655,2
correct trials,-0.002987388473213766,0.009437263558560467,2
correct trials,0.008101214683570397,0.039374013806187914,3
correct trials,0.0102259063044309,0.032752556278994815,3
correct trials,0.009660732356941691,0.03382516507840657,3
correct trials,0.010045596315184618,0.03277788070715382,3
correct trials,0.010043256243370555,0.03158260004720888,3
correct trials,0.009796914061829299,0.03357390277247754,3
correct trials,0.00998269291729663,0.032380592462301884,3
correct trials,0.009983051460073899,0.032362665307983055,3
correct trials,0.009877539940292598,0.03141356759340626,3
correct trials,0.010737039287759077,0.03039842876506,3
correct trials,0.010395809426275212,0.033114595017039936,3
correct trials,0.010329182630281264,0.03287144868473671,3
correct trials,0.010617143314254647,0.03221673199072648,3
correct trials,0.009038841805056994,0.032931185041894864,3
correct trials,0.01071689910387023,0.029706313145905064,3
incorrect trials,-0.003864592878510323,-0.02973179127730166,0
incorrect trials,-0.004503526610678104,-0.03125948666230946,0
incorrect trials,-0.004350527451539989,-0.03103231074722485,0
incorrect trials,-0.004795272805072584,-0.027432649576340534,0
incorrect trials,-0.004484419525870615,-0.02919898429536494,0
incorrect trials,-0.004273890356203737,-0.03089994221028921,0
incorrect trials,-0.004346107778512728,-0.02948401274699889,0
incorrect trials,-0.0043458816619489395,-0.029483835107475296,0
incorrect trials,-0.0044015925145054575,-0.030520392650486262,0
incorrect trials,-0.004818974937586155,-0.029555107209730456,0
incorrect trials,-0.004529445707119448,-0.030045637280893656,0
incorrect trials,-0.004495196730646615,-0.030420712352527066,0
incorrect trials,-0.004294114071224639,-0.028627392801019273,0
incorrect trials,-0.003924516473692573,-0.030597147697666676,0
incorrect trials,-0.004400205790680556,-0.029928735411624906,0
incorrect trials,-0.004521830450523256,-0.030348612152054543,0
incorrect trials,-0.004867277034800035,-0.018289324101630557,1
incorrect trials,-0.005606303274860326,-0.015394637183693834,1
incorrect trials,-0.005453496390279739,-0.015545013191922703,1
incorrect trials,-0.005396887926529077,-0.016440060439630866,1
incorrect trials,-0.00558901487401723,-0.0152707887783744,1
incorrect trials,-0.005403899013985381,-0.016067848566273628,1
incorrect trials,-0.00543215189783166,-0.015955942567176962,1
incorrect trials,-0.00543032991048215,-0.015953333416100515,1
incorrect trials,-0.005458305817225347,-0.014423377446200487,1
incorrect trials,-0.005907760849892082,-0.013359347507342502,1
incorrect trials,-0.006033363140347207,-0.01510598938371965,1
incorrect trials,-0.0056732888880646395,-0.015570405906123637,1
incorrect trials,-0.006119404453348459,-0.015191965409271212,1
incorrect trials,-0.004524914632291495,-0.01730055490653911,1
incorrect trials,-0.0057781683729689745,-0.015067331585472108,1
incorrect trials,-0.0057469161302835005,-0.01404814130417668,1
incorrect trials,-0.0012139441852709438,0.0015548643513038944,2
incorrect trials,-0.002478496157984639,0.006453519494874042,2
incorrect trials,-0.002105226005380689,0.0063037958033148,2
incorrect trials,-0.002304680315650521,0.005285393956311042,2
incorrect trials,-0.0023387499335015887,0.006378285972625864,2
incorrect trials,-0.002304052894011522,0.006810146469588178,2
incorrect trials,-0.002478825059900643,0.006494330582716411,2
incorrect trials,-0.0024794076148289095,0.006509426494165391,2
incorrect trials,-0.0021737351711169453,0.008768951013995607,2
incorrect trials,-0.0025815709940114505,0.005157247149368417,2
incorrect trials,-0.0023415096667106414,0.005900339746308489,2
incorrect trials,-0.002414169092247857,0.006708413011159201,2
incorrect trials,-0.0026502273899784673,0.003883160398401817,2
incorrect trials,-0.001810076764435017,0.007899827565723192,2
incorrect trials,-0.0024209937970968076,0.006622704865954202,2
incorrect trials,-0.002371774933497242,0.00766030286181432,2
incorrect trials,0.0079578551460539,0.039914277268783285,3
incorrect trials,0.010078099188191436,0.033730177684221374,3
incorrect trials,0.009551132077200567,0.03433416602299214,3
incorrect trials,0.010079773490058659,0.03290016136722842,3
incorrect trials,0.009991160428875687,0.031990411975876876,3
incorrect trials,0.009698180183693577,0.034042034489718855,3
incorrect trials,0.00989612826002821,0.032848430920686796,3
incorrect trials,0.009895339467996908,0.032830144902586594,3
incorrect trials,0.00987232851685498,0.0316948225985815,3
