decoder,study_name,accuracy_train,accuracy_test,fold,score,n_sample,weight T-7 C-0,weight T-7 C-1,weight T-7 C-2,weight T-7 C-3,weight T-6 C-0,weight T-6 C-1,weight T-6 C-2,weight T-6 C-3,weight T-5 C-0,weight T-5 C-1,weight T-5 C-2,weight T-5 C-3,weight T-4 C-0,weight T-4 C-1,weight T-4 C-2,weight T-4 C-3,weight T-3 C-0,weight T-3 C-1,weight T-3 C-2,weight T-3 C-3,weight T-2 C-0,weight T-2 C-1,weight T-2 C-2,weight T-2 C-3,weight T-1 C-0,weight T-1 C-1,weight T-1 C-2,weight T-1 C-3,hidden_state T-7,hidden_state T-6,hidden_state T-5,hidden_state T-4,hidden_state T-3,hidden_state T-2,hidden_state T-1
RNN,data_Maniscalco_2017_expt1,Incorrect trials,Correct trials,14.5,0.5588907563023607,760.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06324994337434568,0.09390828162431715,0.1111265239616235,0.12054331538577874,0.1272457300374905,0.131072484391431,0.1333777968461315
RNN,data_Maniscalco_2017_expt1,Incorrect trials,Incorrect trials,14.711864406779661,0.6168269315063932,674.542372881356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061951658341212794,0.09045176981490546,0.1073474123190015,0.1178698403192526,0.1234062221059102,0.12780390403596525,0.1306811819026657
RNN,data_Maniscalco_2017_expt2,Correct trials,Correct trials,20.0,0.5656592237603371,1591.0121951219512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003151902640217098,-0.009239931550038749,-0.014596996559880705,-0.020016305472292908,-0.024976691046925587,-0.028949907634452696,-0.03229471714315344
RNN,data_Maniscalco_2017_expt2,Correct trials,Incorrect trials,20.0,0.5746467379830468,139.6829268292683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002689319526458654,-0.006957385848026445,-0.013642614768397773,-0.0189087126040604,-0.0239115549115146,-0.027545769721633046,-0.033324552041183154
RNN,data_Maniscalco_2017_expt2,Incorrect trials,Correct trials,20.0,0.5265660794782503,353.5121951219512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011112676420985151,-0.026377175951649116,-0.03901460419817848,-0.05042955413192406,-0.059871720417016515,-0.06797476710251918,-0.07469298696946124
RNN,data_Maniscalco_2017_expt2,Incorrect trials,Incorrect trials,20.0,0.5755613464689404,628.7926829268292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010676534029743162,-0.02426895649034298,-0.03743173864646316,-0.049031017044354676,-0.05909348096948389,-0.0677447873962725,-0.07648020423664824
RNN,data_Maniscalco_2017_expt3,Correct trials,Correct trials,10.0,0.6093747383241833,1240.404761904762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013765850858319342,0.019815845525174916,0.020079489182015603,0.02014896094555123,0.019623035769438392,0.01866331519669895,0.01700133589301478
RNN,data_Maniscalco_2017_expt3,Correct trials,Incorrect trials,10.0,0.5748181624910245,124.85714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016256531744840586,0.02076916445401451,0.022065498422653883,0.02198178587215285,0.02323917468034085,0.01973785921221685,0.021184637395587423
RNN,data_Maniscalco_2017_expt3,Incorrect trials,Correct trials,10.0,0.5579001821078756,496.0952380952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003614791668951518,-0.007456597406417151,-0.013236592967240581,-0.017275422035406038,-0.020591145370244278,-0.022623227365935857,-0.024872464515889706
RNN,data_Maniscalco_2017_expt3,Incorrect trials,Incorrect trials,10.0,0.6144603493898395,312.3333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003566960576877354,-0.010123340174600128,-0.017079102041731988,-0.023720239781098256,-0.02767571434378623,-0.03192515028751498,-0.03393441681484026
