source,slope,intercept,acc_train,acc_test,model
cognitive,-0.0035048810234494902,-0.007552342977597073,correct,correct,regression
cognitive,-0.003505020148010603,-0.007551925603913734,correct,correct,regression
cognitive,-0.003504623339266922,-0.007553116030144774,correct,correct,regression
cognitive,-0.0035004198100168664,-0.007565726617894945,correct,correct,regression
cognitive,-0.0035048810234494902,-0.007552342977597073,correct,incorrect,regression
cognitive,-0.003505020148010603,-0.007551925603913734,correct,incorrect,regression
cognitive,-0.003504623339266922,-0.007553116030144774,correct,incorrect,regression
cognitive,-0.0035004198100168664,-0.007565726617894945,correct,incorrect,regression
cognitive,0.007322720806388284,0.034988893506816346,incorrect,correct,regression
cognitive,0.007322850052497045,0.03498850576849005,incorrect,correct,regression
cognitive,0.007322481413358381,0.03498961168590606,incorrect,correct,regression
cognitive,0.007318575237759816,0.03500133021270174,incorrect,correct,regression
cognitive,0.007322720806388284,0.034988893506816346,incorrect,incorrect,regression
cognitive,0.007322850052497045,0.03498850576849005,incorrect,incorrect,regression
cognitive,0.007322481413358381,0.03498961168590606,incorrect,incorrect,regression
cognitive,0.007318575237759816,0.03500133021270174,incorrect,incorrect,regression
mem_4,-0.003505519157331163,-0.007550428575952055,correct,correct,regression
mem_4,-0.0035053811651314937,-0.0075508425525510625,correct,correct,regression
mem_4,-0.003504623339266922,-0.007553116030144774,correct,correct,regression
mem_4,-0.003506062410858151,-0.0075487988153710855,correct,incorrect,regression
mem_4,-0.003505969727735282,-0.007549076864739698,correct,incorrect,regression
mem_4,-0.0035054857857932564,-0.007550528690565774,correct,incorrect,regression
mem_4,-0.003506340778468432,-0.007547963712540252,correct,incorrect,regression
mem_4,0.007323313612706831,0.03498711508786069,incorrect,correct,regression
mem_4,0.007323185426030946,0.034987499647888345,incorrect,correct,regression
mem_4,0.007322481413358381,0.03498961168590606,incorrect,correct,regression
mem_4,0.007323818243409738,0.03498560119575198,incorrect,incorrect,regression
mem_4,0.00732373215188762,0.03498585947031833,incorrect,incorrect,regression
mem_4,0.007323282612690628,0.03498720808790931,incorrect,incorrect,regression
mem_4,0.007324076808007341,0.034984825501959166,incorrect,incorrect,regression
mixed_4,-0.003505945482953142,-0.007549149599086114,correct,correct,regression
mixed_4,-0.0035058699743735744,-0.007549376124824821,correct,correct,regression
mixed_4,-0.00350573404595524,-0.007549783910079823,correct,correct,regression
mixed_4,-0.0035053811651314937,-0.0075508425525510625,correct,correct,regression
mixed_4,-0.003505615094903535,-0.007550140763234939,correct,correct,regression
mixed_4,-0.0035057900185008505,-0.0075496159924429915,correct,correct,regression
mixed_4,-0.0035066594986354342,-0.007547007552039237,correct,incorrect,regression
mixed_4,-0.0035066196243874496,-0.0075471271747831956,correct,incorrect,regression
mixed_4,-0.0035065493662636235,-0.007547337949154673,correct,incorrect,regression
mixed_4,-0.0035065493662636235,-0.007547337949154673,correct,incorrect,regression
mixed_4,-0.0035065493662636235,-0.007547337949154673,correct,incorrect,regression
mixed_4,-0.003506375608025821,-0.007547859223868077,correct,incorrect,regression
mixed_4,-0.0035064894366915417,-0.007547517737870919,correct,incorrect,regression
mixed_4,-0.0035065780637827124,-0.0075472518565974055,correct,incorrect,regression
mixed_4,0.007323709631235223,0.03498592703227552,incorrect,correct,regression
mixed_4,0.007323639491923088,0.03498613745021193,incorrect,correct,regression
mixed_4,0.007323513227555086,0.03498651624331593,incorrect,correct,regression
mixed_4,0.007323185426030946,0.034987499647888345,incorrect,correct,regression
mixed_4,0.007323402731880683,0.03498684773033914,incorrect,correct,regression
mixed_4,0.007323565220884197,0.034986360263328596,incorrect,correct,regression
mixed_4,0.007324372844223786,0.034983937393309836,incorrect,incorrect,regression
mixed_4,0.007324335808504938,0.03498404850046638,incorrect,incorrect,regression
mixed_4,0.007324270551431074,0.03498424427168796,incorrect,incorrect,regression
mixed_4,0.007324270551431074,0.03498424427168796,incorrect,incorrect,regression
mixed_4,0.007324270551431074,0.03498424427168796,incorrect,incorrect,regression
mixed_4,0.00732410915920874,0.03498472844835497,incorrect,incorrect,regression
mixed_4,0.007324214887290852,0.03498441126410864,incorrect,incorrect,regression
mixed_4,0.007324297206293696,0.0349841643071001,incorrect,incorrect,regression
