condition,source,pval,slope_rf_mean,slope_rf_std,slope_rnn_mean,slope_rnn_std
RF_correct_RNN_correct,cognitive,4.999950000499995e-06,0.0035667074060604536,6.711781837425182e-05,0.0035667074060604536,6.711781837425182e-05
RF_correct_RNN_incorrect,cognitive,4.999950000499995e-06,0.0035667074060604536,6.711781837425182e-05,0.0035667074060604536,6.711781837425182e-05
RF_incorrect_RNN_correct,cognitive,4.999950000499995e-06,0.0017085561327632715,7.834808711167786e-05,0.0017085561327632715,7.834808711167786e-05
RF_incorrect_RNN_incorrect,cognitive,4.999950000499995e-06,0.0017085561327632715,7.834808711167786e-05,0.0017085561327632715,7.834808711167786e-05
RF_correct_RNN_correct,mem_4,4.999950000499995e-06,0.007675949585273241,6.152272893244633e-05,0.007675949585273241,6.152272893244633e-05
RF_correct_RNN_incorrect,mem_4,4.999950000499995e-06,0.007675949585273241,6.152272893244633e-05,0.007675949585273241,6.152272893244633e-05
RF_incorrect_RNN_correct,mem_4,4.999950000499995e-06,0.007947240337396994,5.824428143871237e-05,0.007947240337396994,5.824428143871237e-05
RF_incorrect_RNN_incorrect,mem_4,4.999950000499995e-06,0.007947240337396994,5.824428143871237e-05,0.007947240337396994,5.824428143871237e-05
RF_correct_RNN_correct,mixed_4,4.999950000499995e-06,0.009784113653033898,8.098446548361394e-05,0.009784113653033898,8.098446548361394e-05
RF_correct_RNN_incorrect,mixed_4,4.999950000499995e-06,0.009784113653033898,8.098446548361394e-05,0.009784113653033898,8.098446548361394e-05
RF_incorrect_RNN_correct,mixed_4,4.999950000499995e-06,0.009345309869448398,6.846058626437783e-05,0.009345309869448398,6.846058626437783e-05
RF_incorrect_RNN_incorrect,mixed_4,4.999950000499995e-06,0.009345309869448398,6.846058626437783e-05,0.009345309869448398,6.846058626437783e-05
