accuracy_train,coefficient,intercept,confidence
correct trials,-0.01583771894246229,-0.02827694750581125,0
correct trials,-0.017604560294074097,-0.023156398741777655,0
correct trials,-0.01762799248796502,-0.026030769118499594,0
correct trials,-0.018081463852045364,-0.02250849782379937,0
correct trials,-0.018185102528747905,-0.02268406871344468,0
correct trials,-0.01661965862809136,-0.02780136345169968,0
correct trials,-0.017416861310773732,-0.023360749152039298,0
correct trials,-0.01768996588857178,-0.024558676315605328,0
correct trials,-0.01730887396106005,-0.024798190585779742,0
correct trials,-0.01751594479750379,-0.02444450142623189,0
correct trials,-0.017064715797680607,-0.023924095040859128,0
correct trials,-0.017971340360411852,-0.02457732417023875,0
correct trials,-0.017495471505637558,-0.02377856749848231,0
correct trials,-0.01775252624019836,-0.024241799972601917,0
correct trials,-0.017955637819030472,-0.023874296788964806,0
correct trials,-0.017729996419494697,-0.023348218422168457,0
correct trials,-0.008958373695868223,-0.015144234868895073,1
correct trials,-0.011207256959246759,-0.008588979768634993,1
correct trials,-0.010608331796542544,-0.010044527939850646,1
correct trials,-0.01096170237863074,-0.007562665067236303,1
correct trials,-0.011226091815395977,-0.007107426814367546,1
correct trials,-0.010513343333384894,-0.009853056469016637,1
correct trials,-0.01048528438783948,-0.010675318183482482,1
correct trials,-0.011205026085929319,-0.009084929050141972,1
correct trials,-0.01091623367360962,-0.008938101860563263,1
correct trials,-0.010689505342378957,-0.008757560897082003,1
correct trials,-0.010565018332991907,-0.010086690479201077,1
correct trials,-0.01063357656724571,-0.008848592038633703,1
correct trials,-0.010714332529559821,-0.00915160355556606,1
correct trials,-0.009940886721521124,-0.010735765254761512,1
correct trials,-0.011031879617681314,-0.009103721918175905,1
correct trials,-0.010674190542746964,-0.009224938194625852,1
correct trials,0.00022253109221846362,0.0028716835105790485,2
correct trials,-0.0013968490647968922,0.008446052295449804,2
correct trials,-0.001135815874259486,0.009149965943100942,2
correct trials,-0.0011431053285257682,0.00895130219920344,2
correct trials,-0.0010814880137973858,0.0059471599856028515,2
correct trials,-0.002337699962727249,0.011029182307745768,2
correct trials,-0.001601063618578212,0.009019542801816514,2
correct trials,-0.0014748797552385463,0.008377716038997934,2
correct trials,-0.0014968575828693534,0.009402750128265589,2
correct trials,-0.000829466430767468,0.010314607716812314,2
correct trials,-0.0013461286269845702,0.007895891455205552,2
correct trials,-0.0008734645678661515,0.007871527854609393,2
correct trials,-0.0020338035601894624,0.008156847023853659,2
correct trials,-0.0005688748932151265,0.010209000766366966,2
correct trials,-0.0014289164748653802,0.008869842300685361,2
correct trials,-0.0015240859299275003,0.008220115579619129,2
correct trials,0.02274876936077859,0.03822823794904749,3
correct trials,0.029028124969266985,0.01929077620806094,3
correct trials,0.028369788136016805,0.022450700583046906,3
correct trials,0.02911100841376503,0.01782044833854582,3
correct trials,0.02901375118429922,0.01917830891386696,3
correct trials,0.027659013006900927,0.02228259359098274,3
correct trials,0.02796866267693036,0.020658348103676394,3
correct trials,0.02886575601232436,0.020505833817286365,3
correct trials,0.028134261301924444,0.01976509243823152,3
correct trials,0.028400857596552243,0.01895775191265646,3
correct trials,0.027911951062065846,0.0214135417735542,3
correct trials,0.02852002850860727,0.02242289344404659,3
correct trials,0.028449351089614563,0.0198116233737054,3
correct trials,0.028193074710262743,0.020565320416228633,3
correct trials,0.029293600053563205,0.020333790755735714,3
correct trials,0.02875672164420568,0.01995500408464837,3
incorrect trials,-0.016717672482868248,-0.01931596915929501,0
incorrect trials,-0.017659306100086987,-0.015244780021217548,0
