source,accuracy_train,accuracy_test,Time,ps_mean,diff_mean,ps_corrected,star
cognitive,correct trials,correct trials,feature importance T-1,9.99900009999e-05,0.019084190030455236,0.0027997200279972,**
cognitive,correct trials,correct trials,feature importance T-2,9.99900009999e-05,0.006239015214956,0.0027997200279972,**
cognitive,correct trials,correct trials,feature importance T-3,0.0006699330066993302,0.003178801265018101,0.018758124187581243,*
cognitive,correct trials,correct trials,feature importance T-4,0.22694730526947304,0.0006791197286699443,1.0,n.s.
cognitive,correct trials,correct trials,feature importance T-5,9.99900009999e-05,0.004291196950074691,0.0027997200279972,**
cognitive,correct trials,correct trials,feature importance T-6,0.003469653034696531,0.0028016700295389226,0.09715028497150287,n.s.
cognitive,correct trials,correct trials,feature importance T-7,9.99900009999e-05,0.0028002326838457298,0.0027997200279972,**
cognitive,correct trials,incorrect trials,feature importance T-1,9.99900009999e-05,0.016659120117784622,0.0027997200279972,**
cognitive,correct trials,incorrect trials,feature importance T-2,0.0007399260073992601,0.0033785262993410474,0.020717928207179284,*
cognitive,correct trials,incorrect trials,feature importance T-3,0.08053194680531947,0.0012762025820301664,1.0,n.s.
cognitive,correct trials,incorrect trials,feature importance T-4,0.0127987201279872,0.0016680239081658418,0.3583641635836416,n.s.
cognitive,correct trials,incorrect trials,feature importance T-5,0.022927707229277068,0.002407378716981594,0.6419758024197579,n.s.
cognitive,correct trials,incorrect trials,feature importance T-6,0.0001999800019998,0.003504973754757584,0.0055994400559944,**
cognitive,correct trials,incorrect trials,feature importance T-7,0.00058994100589941,0.0033225106374662303,0.01651834816518348,*
cognitive,incorrect trials,correct trials,feature importance T-1,9.99900009999e-05,0.016300067692280085,0.0027997200279972,**
cognitive,incorrect trials,correct trials,feature importance T-2,9.99900009999e-05,0.004579917425510815,0.0027997200279972,**
cognitive,incorrect trials,correct trials,feature importance T-3,0.053464653534646536,0.001325476835182727,1.0,n.s.
cognitive,incorrect trials,correct trials,feature importance T-4,0.5059994000599941,-2.7306300286467024e-05,1.0,n.s.
cognitive,incorrect trials,correct trials,feature importance T-5,0.0012698730126987302,0.0027723475522006434,0.035556444355564445,*
cognitive,incorrect trials,correct trials,feature importance T-6,0.25629437056294374,0.0006799421125188537,1.0,n.s.
cognitive,incorrect trials,correct trials,feature importance T-7,0.008729127087291271,0.0024554164279317853,0.24441555844415558,n.s.
cognitive,incorrect trials,incorrect trials,feature importance T-1,9.99900009999e-05,0.015713186031958717,0.0027997200279972,**
cognitive,incorrect trials,incorrect trials,feature importance T-2,0.00042995700429957,0.005015748569694169,0.01203879612038796,*
cognitive,incorrect trials,incorrect trials,feature importance T-3,0.3681931806819318,0.0003798136600663177,1.0,n.s.
cognitive,incorrect trials,incorrect trials,feature importance T-4,0.05618438156184382,0.0019230945000612365,1.0,n.s.
cognitive,incorrect trials,incorrect trials,feature importance T-5,0.40016998300169987,0.00036207319477125867,1.0,n.s.
cognitive,incorrect trials,incorrect trials,feature importance T-6,0.051114888511148884,0.002130868776069051,1.0,n.s.
cognitive,incorrect trials,incorrect trials,feature importance T-7,0.00265973402659734,0.0036598583359204514,0.07447255274472553,n.s.
mem_4,correct trials,correct trials,feature importance T-1,9.99900009999e-05,0.025203874484221685,0.0027997200279972,**
mem_4,correct trials,correct trials,feature importance T-2,9.99900009999e-05,0.008189693170947103,0.0027997200279972,**
mem_4,correct trials,correct trials,feature importance T-3,9.99900009999e-05,0.005278824924410893,0.0027997200279972,**
mem_4,correct trials,correct trials,feature importance T-4,9.99900009999e-05,0.004007226963334819,0.0027997200279972,**
mem_4,correct trials,correct trials,feature importance T-5,9.99900009999e-05,0.005579184872864853,0.0027997200279972,**
mem_4,correct trials,correct trials,feature importance T-6,0.00010998900109989,0.0033730715231181842,0.00307969203079692,**
mem_4,correct trials,correct trials,feature importance T-7,9.99900009999e-05,0.004537646878228621,0.0027997200279972,**
mem_4,correct trials,incorrect trials,feature importance T-1,9.99900009999e-05,0.023239501578741103,0.0027997200279972,**
mem_4,correct trials,incorrect trials,feature importance T-2,9.99900009999e-05,0.007025408797409668,0.0027997200279972,**
mem_4,correct trials,incorrect trials,feature importance T-3,9.99900009999e-05,0.004672892706608948,0.0027997200279972,**
mem_4,correct trials,incorrect trials,feature importance T-4,0.00058994100589941,0.0027049061566521253,0.01651834816518348,*
mem_4,correct trials,incorrect trials,feature importance T-5,0.00012998700129987002,0.00309945456175681,0.0036396360363963607,**
mem_4,correct trials,incorrect trials,feature importance T-6,9.99900009999e-05,0.002800870647747113,0.0027997200279972,**
mem_4,correct trials,incorrect trials,feature importance T-7,0.00027997200279972006,0.0024883252999457176,0.007839216078392162,**
mem_4,incorrect trials,correct trials,feature importance T-1,9.99900009999e-05,0.023119631856559308,0.0027997200279972,**
mem_4,incorrect trials,correct trials,feature importance T-2,9.99900009999e-05,0.008681555586668482,0.0027997200279972,**
mem_4,incorrect trials,correct trials,feature importance T-3,9.99900009999e-05,0.0055593687350058195,0.0027997200279972,**
mem_4,incorrect trials,correct trials,feature importance T-4,9.99900009999e-05,0.0053662859325150315,0.0027997200279972,**
mem_4,incorrect trials,correct trials,feature importance T-5,9.99900009999e-05,0.004595183375223521,0.0027997200279972,**
mem_4,incorrect trials,correct trials,feature importance T-6,9.99900009999e-05,0.005366747091009606,0.0027997200279972,**
mem_4,incorrect trials,correct trials,feature importance T-7,9.99900009999e-05,0.004617212429280867,0.0027997200279972,**
mem_4,incorrect trials,incorrect trials,feature importance T-1,9.99900009999e-05,0.02197408621842177,0.0027997200279972,**
mem_4,incorrect trials,incorrect trials,feature importance T-2,9.99900009999e-05,0.008190737630196416,0.0027997200279972,**
