accuracy_train,condition,coefficient,intercept,confidence
correct trials,"T-3,T-2,T-1",-0.042704469762671685,-0.10406006658618346,0
correct trials,"T-3,T-2,T-1",-0.048720979243478596,-0.10022299688831793,0
correct trials,"T-3,T-2,T-1",-0.048068998869555526,-0.10647180734394542,0
correct trials,"T-3,T-2,T-1",-0.04924249636865415,-0.10128397121317409,0
correct trials,"T-3,T-2,T-1",-0.05069946221928673,-0.10158457764730028,0
correct trials,"T-3,T-2,T-1",-0.0447605424842371,-0.10632987778371328,0
correct trials,"T-3,T-2,T-1",-0.04832319218999757,-0.09957090721236125,0
correct trials,"T-3,T-2,T-1",-0.0481565416845232,-0.10417297287326334,0
correct trials,"T-3,T-2,T-1",-0.047039629005663046,-0.10301256140192555,0
correct trials,"T-3,T-2,T-1",-0.04834907676192752,-0.10193716944238365,0
correct trials,"T-3,T-2,T-1",-0.047075462355285244,-0.09919029972925754,0
correct trials,"T-3,T-2,T-1",-0.04985264109599667,-0.10420338958517066,0
correct trials,"T-3,T-2,T-1",-0.04885147273474798,-0.09993128762680596,0
correct trials,"T-3,T-2,T-1",-0.049694487745690324,-0.10163258995742766,0
correct trials,"T-3,T-2,T-1",-0.04970651523450523,-0.10310892351956091,0
correct trials,"T-3,T-2,T-1",-0.048919897230754086,-0.10068600493006193,0
correct trials,"T-3,T-2,T-1",-0.023034427755301855,-0.061793016414242466,1
correct trials,"T-3,T-2,T-1",-0.02934394134294021,-0.05767705215389298,1
correct trials,"T-3,T-2,T-1",-0.02778051255515302,-0.05870434842554794,1
correct trials,"T-3,T-2,T-1",-0.029004306579472176,-0.05448922898927622,1
correct trials,"T-3,T-2,T-1",-0.028812677991526994,-0.0543058431351274,1
correct trials,"T-3,T-2,T-1",-0.02834866694331132,-0.056693878514501105,1
correct trials,"T-3,T-2,T-1",-0.028138568080435765,-0.058111812894480745,1
correct trials,"T-3,T-2,T-1",-0.029604020307457395,-0.058525058710330015,1
correct trials,"T-3,T-2,T-1",-0.02876024567216635,-0.05697468988795065,1
correct trials,"T-3,T-2,T-1",-0.028627762542610676,-0.055373319559789136,1
correct trials,"T-3,T-2,T-1",-0.027910371060380825,-0.05773944723962217,1
correct trials,"T-3,T-2,T-1",-0.028476503482827483,-0.0561142165125898,1
correct trials,"T-3,T-2,T-1",-0.030567124068201175,-0.05412999898986138,1
correct trials,"T-3,T-2,T-1",-0.02687900117495599,-0.0562417332855647,1
correct trials,"T-3,T-2,T-1",-0.029236661160670235,-0.057967589550664056,1
correct trials,"T-3,T-2,T-1",-0.028408150456867693,-0.05638726682843209,1
correct trials,"T-3,T-2,T-1",-0.0016176122602803837,0.0074066595744125135,2
correct trials,"T-3,T-2,T-1",-0.0065407857940566905,0.011957059799272462,2
correct trials,"T-3,T-2,T-1",-0.005079547697970652,0.013247757497778968,2
correct trials,"T-3,T-2,T-1",-0.0058075405612479656,0.013783110053610569,2
correct trials,"T-3,T-2,T-1",-0.00522693963241807,0.009614157286565742,2
correct trials,"T-3,T-2,T-1",-0.009665531557180725,0.013942813990006176,2
correct trials,"T-3,T-2,T-1",-0.006419030936705979,0.011548312170306007,2
correct trials,"T-3,T-2,T-1",-0.006029076729799274,0.010987170204442584,2
correct trials,"T-3,T-2,T-1",-0.006209143751284162,0.012762229158308186,2
correct trials,"T-3,T-2,T-1",-0.004115407423300758,0.016598519009776692,2
correct trials,"T-3,T-2,T-1",-0.005452973277839901,0.009965490687217943,2
correct trials,"T-3,T-2,T-1",-0.004770757975554642,0.012510883413584327,2
