accuracy_train,coefficient,ps,confidence
correct trials,-0.013336852083960654,9.999000099990002e-05,0
correct trials,-0.010237348607105947,9.999000099990002e-05,1
correct trials,-0.003678560362483848,9.999000099990002e-05,2
correct trials,0.02795265462659427,9.999000099990002e-05,3
incorrect trials,-0.01595136311478629,9.999000099990002e-05,0
incorrect trials,-0.0017437362794676787,9.999000099990002e-05,1
incorrect trials,0.005806812989953237,9.999000099990002e-05,2
incorrect trials,0.017202673969533705,9.999000099990002e-05,3
