decoder,accuracy_train,accuracy_test,source,ps_mean,diff_mean,ps_corrected,stars
RF,correct trials,correct trials,Cognitive,9.99990000099999e-06,0.02118617925833799,0.00011999880001199988,***
RF,correct trials,correct trials,Memory,9.99990000099999e-06,0.026501420171630152,0.00011999880001199988,***
RF,correct trials,correct trials,Mixed,9.99990000099999e-06,0.034583218411126326,0.00011999880001199988,***
RF,correct trials,incorrect trials,Cognitive,9.99990000099999e-06,0.015060809673931197,0.00011999880001199988,***
RF,correct trials,incorrect trials,Memory,9.99990000099999e-06,0.03559264287925168,0.00011999880001199988,***
RF,correct trials,incorrect trials,Mixed,9.99990000099999e-06,0.035190509388420055,0.00011999880001199988,***
RF,incorrect trials,correct trials,Cognitive,9.99990000099999e-06,0.022004397924174413,0.00011999880001199988,***
RF,incorrect trials,correct trials,Memory,9.99990000099999e-06,0.03096628394411516,0.00011999880001199988,***
RF,incorrect trials,correct trials,Mixed,9.99990000099999e-06,0.032180724252987014,0.00011999880001199988,***
RF,incorrect trials,incorrect trials,Cognitive,9.99990000099999e-06,0.01933855268287077,0.00011999880001199988,***
RF,incorrect trials,incorrect trials,Memory,9.99990000099999e-06,0.038206505669145185,0.00011999880001199988,***
RF,incorrect trials,incorrect trials,Mixed,9.99990000099999e-06,0.03387165039759821,0.00011999880001199988,***
RNN,correct trials,correct trials,Cognitive,4.199958000419996e-05,0.01395965657939846,0.0005039949600503994,***
RNN,correct trials,correct trials,Memory,9.99990000099999e-06,0.018736024287848596,0.00011999880001199988,***
RNN,correct trials,correct trials,Mixed,9.99990000099999e-06,0.026956366074547544,0.00011999880001199988,***
RNN,correct trials,incorrect trials,Cognitive,0.005544944550554495,0.015093917810850788,0.06653933460665394,n.s.
RNN,correct trials,incorrect trials,Memory,9.99990000099999e-06,0.027908302143227592,0.00011999880001199988,***
RNN,correct trials,incorrect trials,Mixed,9.99990000099999e-06,0.024710211132208948,0.00011999880001199988,***
RNN,incorrect trials,correct trials,Cognitive,9.99990000099999e-06,0.008706883355501738,0.00011999880001199988,***
RNN,incorrect trials,correct trials,Memory,9.99990000099999e-06,0.018068920828931412,0.00011999880001199988,***
RNN,incorrect trials,correct trials,Mixed,9.99990000099999e-06,0.026041689712332672,0.00011999880001199988,***
RNN,incorrect trials,incorrect trials,Cognitive,9.99990000099999e-06,0.007737383167735978,0.00011999880001199988,***
RNN,incorrect trials,incorrect trials,Memory,9.99990000099999e-06,0.027504470288925997,0.00011999880001199988,***
RNN,incorrect trials,incorrect trials,Mixed,9.99990000099999e-06,0.022709360066484274,0.00011999880001199988,***
SVM,correct trials,correct trials,Cognitive,9.99990000099999e-06,0.027188363547668293,0.00011999880001199988,***
SVM,correct trials,correct trials,Memory,9.99990000099999e-06,0.02447946581849436,0.00011999880001199988,***
SVM,correct trials,correct trials,Mixed,9.99990000099999e-06,0.03006027581688453,0.00011999880001199988,***
SVM,correct trials,incorrect trials,Cognitive,9.99990000099999e-06,0.027135216476345758,0.00011999880001199988,***
SVM,correct trials,incorrect trials,Memory,9.99990000099999e-06,0.03325054716770137,0.00011999880001199988,***
SVM,correct trials,incorrect trials,Mixed,9.99990000099999e-06,0.031379009217353926,0.00011999880001199988,***
SVM,incorrect trials,correct trials,Cognitive,9.99990000099999e-06,0.026145695509154354,0.00011999880001199988,***
SVM,incorrect trials,correct trials,Memory,9.99990000099999e-06,0.030952811370310584,0.00011999880001199988,***
SVM,incorrect trials,correct trials,Mixed,9.99990000099999e-06,0.023295806029398736,0.00011999880001199988,***
SVM,incorrect trials,incorrect trials,Cognitive,9.99990000099999e-06,0.028671711714199688,0.00011999880001199988,***
SVM,incorrect trials,incorrect trials,Memory,9.99990000099999e-06,0.03216128871971402,0.00011999880001199988,***
SVM,incorrect trials,incorrect trials,Mixed,9.99990000099999e-06,0.030578350088922623,0.00011999880001199988,***
