accuracy_train,accuracy_test,slopes,intercepts,target_data
correct trials,correct trials,0.0018694163487605925,-0.0002729325150525926,Cognitive
correct trials,correct trials,0.00193222726362107,-0.0001237454544337508,Cognitive
correct trials,correct trials,0.0018927833915432664,-0.0002988540962825751,Cognitive
correct trials,correct trials,0.0019722786565925183,-0.00022498265707795138,Cognitive
correct trials,correct trials,0.00198276064490702,-0.0003192842925556164,Cognitive
correct trials,correct trials,0.0018693840134520157,-0.0002448854452345023,Cognitive
correct trials,correct trials,0.0019236064060263991,-0.00042911779881668957,Cognitive
correct trials,correct trials,0.0019855619864818062,-0.00033671782570449116,Cognitive
correct trials,correct trials,0.0019161740451313653,0.00015148114718942316,Cognitive
correct trials,correct trials,0.00197987391686124,-0.000152330168360644,Cognitive
correct trials,correct trials,0.0019060051795002997,0.00015634011286420977,Cognitive
correct trials,correct trials,0.0019262504091076113,-0.0003506851764283666,Cognitive
correct trials,correct trials,0.0018876091077920543,0.00023736825644781693,Cognitive
correct trials,correct trials,0.0019030718606719175,-0.0003319283431026058,Cognitive
correct trials,correct trials,0.001896804639377503,-0.00024895925091431015,Cognitive
correct trials,correct trials,0.0019158747151042587,-0.00017729789862472572,Cognitive
correct trials,incorrect trials,0.001261391584125461,0.000835311210153334,Cognitive
correct trials,incorrect trials,0.0013452868083728285,0.0008381478505748441,Cognitive
correct trials,incorrect trials,0.0013276186856580482,0.0007905054940788026,Cognitive
correct trials,incorrect trials,0.0013839437859707957,9.643932250919841e-05,Cognitive
correct trials,incorrect trials,0.001315630852413204,0.0009256482298140743,Cognitive
correct trials,incorrect trials,0.0013452050180022372,0.0005135802021808038,Cognitive
correct trials,incorrect trials,0.0013762148717188724,0.00022459320987267776,Cognitive
correct trials,incorrect trials,0.0013615846987927705,0.0005174573534972348,Cognitive
correct trials,incorrect trials,0.001320364714864832,0.0004979449923223035,Cognitive
correct trials,incorrect trials,0.001323837729648778,0.0005263369800396628,Cognitive
correct trials,incorrect trials,0.0013678013016898713,0.0007767116923498062,Cognitive
correct trials,incorrect trials,0.0013494323540001463,0.00043786208571600267,Cognitive
correct trials,incorrect trials,0.0013981232165954914,0.0005415090643290698,Cognitive
correct trials,incorrect trials,0.0014225066237669236,0.00043345341023362776,Cognitive
correct trials,incorrect trials,0.0013197589860888166,0.0004959513826022031,Cognitive
correct trials,incorrect trials,0.0014040933499165746,0.0003184175269113033,Cognitive
incorrect trials,correct trials,0.0015960748300816948,-0.000899165081261291,Cognitive
incorrect trials,correct trials,0.0016970612958455904,-0.0011313658241824927,Cognitive
incorrect trials,correct trials,0.0016992661904205576,-0.0007127071721666749,Cognitive
incorrect trials,correct trials,0.0017139599798278145,-0.0014495095471335974,Cognitive
incorrect trials,correct trials,0.0016610615130562573,-0.0009445916529126708,Cognitive
incorrect trials,correct trials,0.0016350629650376317,-0.0007665620379492012,Cognitive
incorrect trials,correct trials,0.0017444282203271599,-0.0012767134436688686,Cognitive
incorrect trials,correct trials,0.0016600962852363255,-0.0012929478949197481,Cognitive
incorrect trials,correct trials,0.0017749042522361201,-0.0013230218181230994,Cognitive
incorrect trials,correct trials,0.00165925806307559,-0.0010240535532872307,Cognitive
