accuracy_train,accuracy_test,slopes,intercepts,target_data
incorrect trials,correct trials,0.0016237250723915991,-0.0007404664667767244,Cognitive
incorrect trials,correct trials,0.0017639631412355108,-0.0014785053880978535,Cognitive
incorrect trials,correct trials,0.0016158215973496647,-0.0007133715161501859,Cognitive
incorrect trials,correct trials,0.0016858486951049478,-0.0008039781491841922,Cognitive
incorrect trials,correct trials,0.0016762640056586086,-0.0009290201950510127,Cognitive
incorrect trials,correct trials,0.0017570373550081196,-0.001209265226898292,Cognitive
incorrect trials,incorrect trials,0.0014531583058748152,8.815699148685859e-05,Cognitive
incorrect trials,incorrect trials,0.001494283616480866,-0.000836935999703782,Cognitive
incorrect trials,incorrect trials,0.0014880287288672285,-0.00034414452593764955,Cognitive
incorrect trials,incorrect trials,0.0015123381020715886,-2.982251604217393e-05,Cognitive
incorrect trials,incorrect trials,0.0014702815594533469,-0.0005717641075003973,Cognitive
incorrect trials,incorrect trials,0.0014724279689250855,-0.00015829693036698445,Cognitive
incorrect trials,incorrect trials,0.0014938424397153564,5.884765500807805e-05,Cognitive
incorrect trials,incorrect trials,0.001453709147974501,-0.00022360173519921436,Cognitive
incorrect trials,incorrect trials,0.0014534911172542932,5.2639426403179417e-05,Cognitive
incorrect trials,incorrect trials,0.0014625725061083333,-0.00046601309367729805,Cognitive
incorrect trials,incorrect trials,0.0014217569768977805,-0.0003249685203923335,Cognitive
incorrect trials,incorrect trials,0.0014710126134422905,-0.0004874334177267991,Cognitive
incorrect trials,incorrect trials,0.0014213310785684892,0.00014032238076404184,Cognitive
incorrect trials,incorrect trials,0.0014295923448175124,0.0001472797885026288,Cognitive
incorrect trials,incorrect trials,0.0014283009791204834,-0.0004890468895483611,Cognitive
incorrect trials,incorrect trials,0.0014853452978471728,-8.188127109018829e-05,Cognitive
correct trials,correct trials,0.0024074306176589152,0.0007240156483522605,Memory
correct trials,correct trials,0.002575943463854718,0.00036070623625565103,Memory
correct trials,correct trials,0.002582767450437687,0.00022801492922176585,Memory
correct trials,correct trials,0.0025444285401216874,0.0003851262735751178,Memory
correct trials,correct trials,0.002586071952464475,0.00021727422502201572,Memory
correct trials,correct trials,0.002454501428553693,0.0005489613954180591,Memory
correct trials,correct trials,0.0025292698053802952,0.0005492286239790678,Memory
correct trials,correct trials,0.00254634243511749,0.00044770788259728116,Memory
correct trials,correct trials,0.002525984454431239,0.00036886983429053333,Memory
correct trials,correct trials,0.002512587475581827,0.00023164048120318404,Memory
correct trials,correct trials,0.00245143000508348,0.0006716410988296291,Memory
correct trials,correct trials,0.002563333082386614,0.0004024247944548875,Memory
correct trials,correct trials,0.0024943913221499867,0.000727349218910934,Memory
correct trials,correct trials,0.002545851675884536,0.00018711083606327318,Memory
correct trials,correct trials,0.002509844306085121,0.000557948247621844,Memory
correct trials,correct trials,0.002512502227990458,0.0007514202695176279,Memory
correct trials,incorrect trials,0.002470702810646303,-0.0006352639059571058,Memory
correct trials,incorrect trials,0.0025886626329860688,-0.0011873073141117187,Memory
correct trials,incorrect trials,0.0026200087289752635,-0.0012193303945537935,Memory
correct trials,incorrect trials,0.0025601681150362707,-0.0013005755403841437,Memory
correct trials,incorrect trials,0.0026470118592873152,-0.0012205769621502884,Memory
correct trials,incorrect trials,0.002469334257037352,-0.0008482957540088144,Memory
correct trials,incorrect trials,0.0025534186603636527,-0.0012476015525316204,Memory
correct trials,incorrect trials,0.0025968890254924855,-0.001220679551014986,Memory
correct trials,incorrect trials,0.0025509241325207825,-0.0011933461407379869,Memory
correct trials,incorrect trials,0.0025378194461353736,-0.0010511961754317367,Memory
correct trials,incorrect trials,0.0025395576188067233,-0.0010458999988390257,Memory
correct trials,incorrect trials,0.002567758896144551,-0.001098029176853828,Memory
correct trials,incorrect trials,0.0025271147490258787,-0.000900161920108034,Memory
correct trials,incorrect trials,0.0025526081800307395,-0.001232450142960328,Memory
correct trials,incorrect trials,0.00262044993729373,-0.0014291856065398343,Memory
correct trials,incorrect trials,0.002532195415285102,-0.0007594366901932824,Memory
incorrect trials,correct trials,0.0021949254236540592,0.0014655621844715727,Memory
incorrect trials,correct trials,0.0022946280036709996,0.0014111705662886616,Memory
incorrect trials,correct trials,0.0022633116830119435,0.0016945870801743828,Memory
incorrect trials,correct trials,0.0022806042692916978,0.0014301098734698743,Memory
incorrect trials,correct trials,0.0022715826244675886,0.0013363733577066942,Memory
incorrect trials,correct trials,0.0021181242809589313,0.0018598588671217492,Memory
incorrect trials,correct trials,0.0022553496223790452,0.0014388480408812172,Memory
incorrect trials,correct trials,0.0021993482615192293,0.0012270924626968651,Memory
incorrect trials,correct trials,0.002298013696982995,0.0011345547156551873,Memory
incorrect trials,correct trials,0.0022441666688005324,0.0013530081862601143,Memory
incorrect trials,correct trials,0.0021907083715662105,0.001621122698843504,Memory
incorrect trials,correct trials,0.0022544688026043375,0.0012822988592967582,Memory
incorrect trials,correct trials,0.002142414705442589,0.0018837453660193182,Memory
incorrect trials,correct trials,0.002254962132699671,0.0016337180575141082,Memory
incorrect trials,correct trials,0.0022043550911322015,0.001610341954749941,Memory
incorrect trials,correct trials,0.002215341379233918,0.0015558012623453736,Memory
incorrect trials,incorrect trials,0.0022699642583472067,0.0008561154928085554,Memory
incorrect trials,incorrect trials,0.0023142436604870645,0.0010148794185818304,Memory
incorrect trials,incorrect trials,0.0022959092061435454,0.0011689671192882806,Memory
incorrect trials,incorrect trials,0.002303470359993915,0.0009395949304338326,Memory
incorrect trials,incorrect trials,0.0022768263961648293,0.0009440420360853439,Memory
incorrect trials,incorrect trials,0.0022085753583863574,0.001007068954672381,Memory
incorrect trials,incorrect trials,0.0022891018348137567,0.0010940113503627308,Memory
incorrect trials,incorrect trials,0.0022420498314576864,0.0009690221223066821,Memory
incorrect trials,incorrect trials,0.002334562849088083,0.0007134005768442983,Memory
incorrect trials,incorrect trials,0.0022900934647233193,0.0009320527241191666,Memory
incorrect trials,incorrect trials,0.002290241941831605,0.001022596862511222,Memory
incorrect trials,incorrect trials,0.002271228858014491,0.0010537698043610252,Memory
incorrect trials,incorrect trials,0.002214531676599086,0.0012461262505098786,Memory
incorrect trials,incorrect trials,0.0022786256875078877,0.000939523825430469,Memory
incorrect trials,incorrect trials,0.002306357137278779,0.0010819225513824336,Memory
incorrect trials,incorrect trials,0.002272278651952878,0.0009564412230712322,Memory
correct trials,correct trials,0.0038646135005698436,0.0006206554852991684,Mixed
correct trials,correct trials,0.004041844088940218,0.00015700811675043412,Mixed
correct trials,correct trials,0.004107272924146142,3.0363496616147775e-05,Mixed
correct trials,correct trials,0.004051821664996074,-0.00015338522665716073,Mixed
correct trials,correct trials,0.004145142651122001,-0.00013037326351526997,Mixed
correct trials,correct trials,0.003898046064529825,0.000620084112550141,Mixed
correct trials,correct trials,0.003955896327182112,0.0002702247197616976,Mixed
correct trials,correct trials,0.0040422159368643795,0.0001422859900408694,Mixed
correct trials,correct trials,0.004046811173211775,9.60268877123853e-05,Mixed
correct trials,correct trials,0.004029015966082644,0.00017093234732178282,Mixed
correct trials,correct trials,0.00397470190449933,0.00025365392455037675,Mixed
correct trials,correct trials,0.004078976997039523,0.00026876705514233823,Mixed
correct trials,correct trials,0.004003403785105844,0.0002399334597757031,Mixed
correct trials,correct trials,0.004002055991854378,0.0003536570043236823,Mixed
correct trials,correct trials,0.004059308741838436,5.6459398951009404e-05,Mixed
correct trials,correct trials,0.004007427029780725,0.00012637023216777697,Mixed
correct trials,incorrect trials,0.0033949235322876235,0.00039349363355519265,Mixed
correct trials,incorrect trials,0.003584587754355844,1.0099109931015204e-05,Mixed
correct trials,incorrect trials,0.003597228592577691,7.078286778153253e-05,Mixed
correct trials,incorrect trials,0.00353322232590987,0.00026893871251728457,Mixed
correct trials,incorrect trials,0.0036114310407463933,-0.0003673331846608327,Mixed
correct trials,incorrect trials,0.0034683594125066624,0.00022144773760561336,Mixed
correct trials,incorrect trials,0.00349564579619461,-4.582740933242388e-05,Mixed
correct trials,incorrect trials,0.003552560235594525,-7.652956727369903e-05,Mixed
correct trials,incorrect trials,0.0035238924444389603,5.2846137339832705e-05,Mixed
correct trials,incorrect trials,0.003490555681021233,1.2975103416162925e-05,Mixed
correct trials,incorrect trials,0.0035281131673014334,0.00023177748098554378,Mixed
correct trials,incorrect trials,0.0035479868171534416,2.583889852013528e-05,Mixed
correct trials,incorrect trials,0.0035054025075629686,2.604354369213635e-05,Mixed
correct trials,incorrect trials,0.003495968615530045,0.0003629323606153898,Mixed
correct trials,incorrect trials,0.0034874489443870644,0.00045117376972168485,Mixed
correct trials,incorrect trials,0.0035158982245989644,0.00015828634619715308,Mixed
incorrect trials,correct trials,0.003064206240796643,0.000985002917124344,Mixed
incorrect trials,correct trials,0.003206498027649443,0.0005643713226150156,Mixed
incorrect trials,correct trials,0.0031491803391817496,0.0009769157270569286,Mixed
incorrect trials,correct trials,0.0031539695840467935,0.0008403214394413112,Mixed
incorrect trials,correct trials,0.003256280178762264,0.00031310769490775804,Mixed
incorrect trials,correct trials,0.003050988475250833,0.000925941190092202,Mixed
incorrect trials,correct trials,0.0032347620677595098,0.000566500150543079,Mixed
incorrect trials,correct trials,0.0031021494047731926,0.0008091420044032908,Mixed
incorrect trials,correct trials,0.0032195762474443285,0.0005000098428356876,Mixed
incorrect trials,correct trials,0.0031243653065905126,0.0007409647886272644,Mixed
incorrect trials,correct trials,0.003159097512758763,0.0006497413673269819,Mixed
incorrect trials,correct trials,0.003152592171011383,0.0007514395530623247,Mixed
incorrect trials,correct trials,0.003068271593310293,0.0009865446843798122,Mixed
incorrect trials,correct trials,0.0031776389002522746,0.0009447216491449851,Mixed
incorrect trials,correct trials,0.0031659003755592054,0.0006852275846604469,Mixed
incorrect trials,correct trials,0.003176609016170334,0.0006278941900443244,Mixed
incorrect trials,incorrect trials,0.00314399981991271,0.00030837716473564557,Mixed
incorrect trials,incorrect trials,0.003265550653778042,-0.00017035693582934455,Mixed
incorrect trials,incorrect trials,0.003186740710433307,0.0004178896604094401,Mixed
incorrect trials,incorrect trials,0.003250202479418385,-0.0001620394208402265,Mixed
incorrect trials,incorrect trials,0.0032518482968436325,-0.0003381489595276569,Mixed
incorrect trials,incorrect trials,0.0030860955283067435,0.00046275460995260156,Mixed
incorrect trials,incorrect trials,0.003229775676483046,0.00014626654186828368,Mixed
incorrect trials,incorrect trials,0.003157240056876599,0.0002810065358195158,Mixed
incorrect trials,incorrect trials,0.003268796117593909,-1.3081765933441528e-05,Mixed
incorrect trials,incorrect trials,0.00316084685998074,0.00010116952551600909,Mixed
incorrect trials,incorrect trials,0.003171511044253752,0.00022885787995763351,Mixed
incorrect trials,incorrect trials,0.0032097000713607166,-5.3201095042323954e-05,Mixed
incorrect trials,incorrect trials,0.0030556164860716796,0.00042603424998174586,Mixed
incorrect trials,incorrect trials,0.003226876084556242,0.00028171153992124186,Mixed
incorrect trials,incorrect trials,0.0031822106795938326,0.0001276608491303944,Mixed
incorrect trials,incorrect trials,0.00322752774119825,-3.888117544194672e-05,Mixed
