condition,experiment,pval,slope_rf_mean,slope_rf_std,slope_rnn_mean,slope_rnn_std
RF_correct_RNN_correct,data_Bang_2019_Exp1,4.999950000499995e-06,0.021292550136980063,0.00041213565251139414,0.021292550136980063,0.00041213565251139414
RF_correct_RNN_incorrect,data_Bang_2019_Exp1,4.999950000499995e-06,0.021292550136980063,0.00041213565251139414,0.021292550136980063,0.00041213565251139414
RF_incorrect_RNN_correct,data_Bang_2019_Exp1,4.999950000499995e-06,0.0025895220330381104,0.00018598041544066652,0.0025895220330381104,0.00018598041544066652
RF_incorrect_RNN_incorrect,data_Bang_2019_Exp1,4.999950000499995e-06,0.0025895220330381104,0.00018598041544066652,0.0025895220330381104,0.00018598041544066652
RF_correct_RNN_correct,data_Bang_2019_Exp2,4.999950000499995e-06,0.002118893052307505,1.8864970194276938e-05,0.002118893052307505,1.8864970194276938e-05
RF_correct_RNN_incorrect,data_Bang_2019_Exp2,4.999950000499995e-06,0.002118893052307505,1.8864970194276938e-05,0.002118893052307505,1.8864970194276938e-05
RF_incorrect_RNN_correct,data_Bang_2019_Exp2,4.999950000499995e-06,0.0008309404921956966,2.5219003669102325e-05,0.0008309404921956966,2.5219003669102325e-05
RF_incorrect_RNN_incorrect,data_Bang_2019_Exp2,4.999950000499995e-06,0.0008309404921956966,2.5219003669102325e-05,0.0008309404921956966,2.5219003669102325e-05
RF_correct_RNN_correct,data_Gajdos_2019,4.999950000499995e-06,0.0013300467278130343,7.717428632913097e-05,0.0013300467278130343,7.717428632913097e-05
RF_correct_RNN_incorrect,data_Gajdos_2019,4.999950000499995e-06,0.0013300467278130343,7.717428632913097e-05,0.0013300467278130343,7.717428632913097e-05
RF_incorrect_RNN_correct,data_Gajdos_2019,4.999950000499995e-06,0.0010565252885533446,0.0002600102724366375,0.0010565252885533446,0.0002600102724366375
RF_incorrect_RNN_incorrect,data_Gajdos_2019,4.999950000499995e-06,0.0010565252885533446,0.0002600102724366375,0.0010565252885533446,0.0002600102724366375
RF_correct_RNN_correct,data_Haddara_unpub,4.999950000499995e-06,0.0018402830938946215,7.219542769557232e-06,0.0018402830938946215,7.219542769557232e-06
RF_correct_RNN_incorrect,data_Haddara_unpub,4.999950000499995e-06,0.0018402830938946215,7.219542769557232e-06,0.0018402830938946215,7.219542769557232e-06
RF_incorrect_RNN_correct,data_Haddara_unpub,4.999950000499995e-06,0.0003954097046420251,6.652990775339216e-06,0.0003954097046420251,6.652990775339216e-06
RF_incorrect_RNN_incorrect,data_Haddara_unpub,4.999950000499995e-06,0.0003954097046420251,6.652990775339216e-06,0.0003954097046420251,6.652990775339216e-06
RF_correct_RNN_correct,data_Koculak_unpub,4.999950000499995e-06,-8.451919398091706e-05,7.972032088808194e-05,-8.451919398091706e-05,7.972032088808194e-05
