experiment,condition,slope,model,accuracy
data_Bang_2019_Exp1,RF_incorrect,0.0023722268035851705,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024066377765807907,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.00236016167184894,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002337109384834271,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024367062747778024,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0025192281800985408,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002585267872930904,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002570858147171029,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0026483508305403013,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002538513254283908,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002479189469586356,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024358191594422763,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.00242682390175529,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002364271501599718,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002291094032803493,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024322918647722877,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0023635533553616446,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002428488356475068,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024393231588710346,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002484865636935833,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024436893459546674,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024979531979701093,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0023494731541599165,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0023063846585717144,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0023838087622291755,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024369577632452765,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002483750433568578,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002440171075613009,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0023248805783595266,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002537796407986633,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0022998058303992206,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002388858337274046,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002434859642672458,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024430101096058125,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024625112644142914,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002223755631736593,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002554179215248749,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024951474591913304,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002414113603212536,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002435145545214591,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024636526649016266,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024316768291038817,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002478239610751765,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024879084333512378,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0025760471827997585,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002490541045621282,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002437765611432567,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024220239841414555,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002492233162932699,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002310761297479251,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002453636976945789,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002419851646791453,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024146924334437366,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002434942798543231,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024238649609136537,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024413805221496516,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002355186711313749,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002320999342900127,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024169602496626323,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024006295182074913,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024357090679239753,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024875022169977374,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.00246960271339872,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0023792192476045112,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002611478933653452,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0025464319046102665,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002473649398261293,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002434959159935914,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024337323523211927,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024166139025623193,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0022499372337633837,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002569129806668068,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002663915926924671,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024958352049838147,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0024349499742942183,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002450574992089813,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.0023478176741995455,RF,incorrect
data_Bang_2019_Exp1,RF_incorrect,0.002209803622211008,RF,incorrect
data_Bang_2019_Exp1,RNN_correct,-0.004832519899893185,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.0050630853791738106,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005036177364937063,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004947220852023885,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004845197383099033,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004756272084124552,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004707535879741434,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005327459058169172,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005437334412370767,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005227090176613087,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004976413476245279,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004682004894883653,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004458947558442104,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.00422346797644596,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005005895653333908,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005193920593016736,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.005110380570673222,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004953717592564378,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.0047865890921038575,RNN,correct
data_Bang_2019_Exp1,RNN_correct,-0.004651126323069681,RNN,correct
