experiment,condition,score_mean,score_std,pval,p_corrected,stars
data_Bang_2019_Exp1,RF_correct,0.7141877207647239,0.03393358820698954,9.999900000999992e-06,0.00015999840001599988,***
data_Bang_2019_Exp2,RF_correct,0.5738703020743999,0.08414315015680794,9.999900000999992e-06,0.00015999840001599988,***
data_Haddara_unpub,RF_correct,0.5929883010547883,0.09755991174815558,9.999900000999992e-06,0.00015999840001599988,***
data_Law_unpub,RF_correct,0.5793037421014695,0.043735264345555115,9.999900000999992e-06,0.00015999840001599988,***
data_Maniscalco_2017_expt1,RF_correct,0.5979571177015506,0.08822776417656249,9.999900000999992e-06,0.00015999840001599988,***
data_Maniscalco_2017_expt4,RF_correct,0.6263307688413394,0.11471295708794087,9.999900000999992e-06,0.00015999840001599988,***
data_Sherman_2016_JOCN,RF_correct,0.5720908181780654,0.04743202513674597,9.999900000999992e-06,0.00015999840001599988,***
data_Siedlecka_2019,RF_correct,0.6693584670347252,0.11516233564096237,9.999900000999992e-06,0.00015999840001599988,***
data_Wierzchon_2014,RF_correct,0.5890066457590865,0.09760275871934604,9.999900000999992e-06,0.00015999840001599988,***
data_vanBoxtel_2019_Expt1,RF_correct,0.5495544470191677,0.036061006913140785,9.999900000999992e-06,0.00015999840001599988,***
data_vanBoxtel_2019_Expt2,RF_correct,0.5802851137643128,0.04953216684594847,9.999900000999992e-06,0.00015999840001599988,***
data_Shekhar_2018,RF_correct,0.596499960089921,0.08156278068023366,1.7799822001779984e-05,0.00028479715202847975,***
data_Maniscalco_2017_expt2,RF_correct,0.5358328094630282,0.045931108521537874,2.0799792002079983e-05,0.0003327966720332797,***
data_Gajdos_2019,RF_correct,0.5355282892213541,0.037082643895804665,7.489925100748993e-05,0.0011983880161198389,**
data_Maniscalco_2017_expt3,RF_correct,0.6264116172054877,0.13510879950853125,9.619903800961992e-05,0.0015391846081539188,**
data_Koculak_unpub,RF_correct,0.538100974303255,0.0994713920780895,0.0026081739182608177,0.041730782692173084,*
data_Bang_2019_Exp2,RF_incorrect,0.5803170193637237,0.12540721723440795,9.999900000999992e-06,0.00015999840001599988,***
data_Haddara_unpub,RF_incorrect,0.5708813432620515,0.09746968217683026,9.999900000999992e-06,0.00015999840001599988,***
data_Law_unpub,RF_incorrect,0.5705815773328518,0.04884015840135797,9.999900000999992e-06,0.00015999840001599988,***
data_Siedlecka_2019,RF_incorrect,0.6351244397405635,0.13273709710404535,9.999900000999992e-06,0.00015999840001599988,***
data_Wierzchon_2014,RF_incorrect,0.5929391210147277,0.1274406622429818,9.999900000999992e-06,0.00015999840001599988,***
data_vanBoxtel_2019_Expt1,RF_incorrect,0.5621391225959651,0.0623050774216302,9.999900000999992e-06,0.00015999840001599988,***
data_Maniscalco_2017_expt4,RF_incorrect,0.5874838405613796,0.11249770815791676,1.359986400135999e-05,0.00021759782402175983,***
data_Koculak_unpub,RF_incorrect,0.5415425305845649,0.07442731421786174,6.579934200657994e-05,0.001052789472105279,**
data_vanBoxtel_2019_Expt2,RF_incorrect,0.5491407561565677,0.07936164440992842,0.0003151968480315197,0.005043149568504315,**
data_Maniscalco_2017_expt2,RF_incorrect,0.5526748058688181,0.09915013373756312,0.0005698943010569895,0.009118308816911832,**
data_Maniscalco_2017_expt3,RF_incorrect,0.6135965145417798,0.15913183552015495,0.0014734852651473484,0.023575764242357574,*
data_Maniscalco_2017_expt1,RF_incorrect,0.5467456505424957,0.11470453781165568,0.017491125088749112,0.2798580014199858,n.s.
data_Shekhar_2018,RF_incorrect,0.5525384646916416,0.1121211418102694,0.02539344606553935,0.4062951370486296,n.s.
data_Gajdos_2019,RF_incorrect,0.5266049965877205,0.08244853974892881,0.06895421045789542,1.0,n.s.
data_Sherman_2016_JOCN,RF_incorrect,0.51231193159555,0.035161682562316124,0.0702180978190218,1.0,n.s.
data_Bang_2019_Exp1,RF_incorrect,0.49655916100140246,0.059112535381230576,0.5423705762942371,1.0,n.s.
data_Bang_2019_Exp1,RNN_correct,0.7332229155898267,0.03227333885218997,9.999900000999992e-06,0.00015999840001599988,***
data_Bang_2019_Exp2,RNN_correct,0.5850004444717289,0.09080761837058463,9.999900000999992e-06,0.00015999840001599988,***
data_Haddara_unpub,RNN_correct,0.6007237161405163,0.10573019572288993,9.999900000999992e-06,0.00015999840001599988,***
data_Law_unpub,RNN_correct,0.629315220093219,0.05185583720269943,9.999900000999992e-06,0.00015999840001599988,***
data_Maniscalco_2017_expt1,RNN_correct,0.5901635995494748,0.08481914605894668,9.999900000999992e-06,0.00015999840001599988,***
data_Maniscalco_2017_expt4,RNN_correct,0.6875155674867907,0.16628116424037864,9.999900000999992e-06,0.00015999840001599988,***
data_Shekhar_2018,RNN_correct,0.6120652716528762,0.06519960617543771,9.999900000999992e-06,0.00015999840001599988,***
data_Sherman_2016_JOCN,RNN_correct,0.6079459217618258,0.06378086563778472,9.999900000999992e-06,0.00015999840001599988,***
data_Siedlecka_2019,RNN_correct,0.6612050618329544,0.09834052055571949,9.999900000999992e-06,0.00015999840001599988,***
data_Wierzchon_2014,RNN_correct,0.5929672784577006,0.10128739835207685,9.999900000999992e-06,0.00015999840001599988,***
data_vanBoxtel_2019_Expt1,RNN_correct,0.5744057470990824,0.03897548178620613,9.999900000999992e-06,0.00015999840001599988,***
data_vanBoxtel_2019_Expt2,RNN_correct,0.6130390779814011,0.05169658044537914,9.999900000999992e-06,0.00015999840001599988,***
data_Koculak_unpub,RNN_correct,0.5677860512797639,0.09754885303373625,1.0599894001059992e-05,0.00016959830401695988,***
data_Gajdos_2019,RNN_correct,0.5479583619411869,0.05271153914562466,3.439965600343997e-05,0.0005503944960550395,***
data_Maniscalco_2017_expt3,RNN_correct,0.5764032585811449,0.08722221153702199,0.0001183988160118399,0.0018943810561894384,**
data_Maniscalco_2017_expt2,RNN_correct,0.5402148390390482,0.06825629433603267,0.0003400965990340097,0.005441545584544155,**
data_Bang_2019_Exp2,RNN_incorrect,0.6115087115156349,0.13363486574302608,9.999900000999992e-06,0.00015999840001599988,***
data_Haddara_unpub,RNN_incorrect,0.5802578663068423,0.0916027935141065,9.999900000999992e-06,0.00015999840001599988,***
data_Koculak_unpub,RNN_incorrect,0.5650221154212924,0.07528563137778603,9.999900000999992e-06,0.00015999840001599988,***
data_Law_unpub,RNN_incorrect,0.637589969601313,0.05025828469328814,9.999900000999992e-06,0.00015999840001599988,***
data_Siedlecka_2019,RNN_incorrect,0.6866622195259635,0.09929548759252504,9.999900000999992e-06,0.00015999840001599988,***
data_Wierzchon_2014,RNN_incorrect,0.5645630259087,0.13998259432167728,9.999900000999992e-06,0.00015999840001599988,***
data_vanBoxtel_2019_Expt1,RNN_incorrect,0.6358602273239806,0.07109849587963574,9.999900000999992e-06,0.00015999840001599988,***
data_vanBoxtel_2019_Expt2,RNN_incorrect,0.6110264754060427,0.0863075651024463,9.999900000999992e-06,0.00015999840001599988,***
data_Sherman_2016_JOCN,RNN_incorrect,0.5531474503912448,0.04853062087306271,1.0199898001019994e-05,0.0001631983680163199,***
data_Maniscalco_2017_expt2,RNN_incorrect,0.58640178694173,0.11438720687128247,1.1399886001139992e-05,0.00018239817601823987,***
data_Shekhar_2018,RNN_incorrect,0.615771154550894,0.12181639993543744,5.759942400575995e-05,0.0009215907840921592,***
data_Maniscalco_2017_expt3,RNN_incorrect,0.5908774456576862,0.12251579619510977,0.0005603943960560394,0.00896631033689663,**
data_Maniscalco_2017_expt1,RNN_incorrect,0.5729666907610398,0.12139435561278539,0.0014596854031459685,0.023354966450335496,*
data_Maniscalco_2017_expt4,RNN_incorrect,0.5340781928526059,0.09143281858297825,0.022302176978230216,0.35683483165168345,n.s.
data_Gajdos_2019,RNN_incorrect,0.5237118222996789,0.11692334072350574,0.17096929030709695,1.0,n.s.
data_Bang_2019_Exp1,RNN_incorrect,0.48093342820282065,0.0709109611587824,0.8191960080399194,1.0,n.s.
