condition,experiment,pval,slope_rf_mean,slope_rf_std,slope_rnn_mean,slope_rnn_std
RF_correct_RNN_correct,data_Bang_2019_Exp1,4.999950000499995e-06,0.02691734845859736,0.00034683057474590035,0.02691734845859736,0.00034683057474590035
RF_correct_RNN_incorrect,data_Bang_2019_Exp1,0.3396741032589674,0.02691734845859736,0.00034683057474590035,0.02691734845859736,0.00034683057474590035
RF_incorrect_RNN_correct,data_Bang_2019_Exp1,4.999950000499995e-06,0.00907653768045022,0.00022284162006178533,0.00907653768045022,0.00022284162006178533
RF_incorrect_RNN_incorrect,data_Bang_2019_Exp1,4.999950000499995e-06,0.00907653768045022,0.00022284162006178533,0.00907653768045022,0.00022284162006178533
RF_correct_RNN_correct,data_Bang_2019_Exp2,4.999950000499995e-06,0.004406912841780081,1.3640535453221184e-05,0.004406912841780081,1.3640535453221184e-05
RF_correct_RNN_incorrect,data_Bang_2019_Exp2,4.999950000499995e-06,0.004406912841780081,1.3640535453221184e-05,0.004406912841780081,1.3640535453221184e-05
RF_incorrect_RNN_correct,data_Bang_2019_Exp2,4.999950000499995e-06,0.00399677131981346,1.9642628075337828e-05,0.00399677131981346,1.9642628075337828e-05
RF_incorrect_RNN_incorrect,data_Bang_2019_Exp2,4.999950000499995e-06,0.00399677131981346,1.9642628075337828e-05,0.00399677131981346,1.9642628075337828e-05
RF_correct_RNN_correct,data_Gajdos_2019,4.999950000499995e-06,0.002507048358311207,6.302683957089896e-05,0.002507048358311207,6.302683957089896e-05
RF_correct_RNN_incorrect,data_Gajdos_2019,6.749932500674993e-05,0.002507048358311207,6.302683957089896e-05,0.002507048358311207,6.302683957089896e-05
RF_incorrect_RNN_correct,data_Gajdos_2019,4.999950000499995e-06,0.0009402753614469929,9.671006141902068e-05,0.0009402753614469929,9.671006141902068e-05
RF_incorrect_RNN_incorrect,data_Gajdos_2019,4.999950000499995e-06,0.0009402753614469929,9.671006141902068e-05,0.0009402753614469929,9.671006141902068e-05
RF_correct_RNN_correct,data_Haddara_unpub,4.999950000499995e-06,0.0043695993781188375,5.832814686344444e-06,0.0043695993781188375,5.832814686344444e-06
RF_correct_RNN_incorrect,data_Haddara_unpub,4.999950000499995e-06,0.0043695993781188375,5.832814686344444e-06,0.0043695993781188375,5.832814686344444e-06
RF_incorrect_RNN_correct,data_Haddara_unpub,4.999950000499995e-06,0.0038344336820650914,6.685179780863898e-06,0.0038344336820650914,6.685179780863898e-06
RF_incorrect_RNN_incorrect,data_Haddara_unpub,4.999950000499995e-06,0.0038344336820650914,6.685179780863898e-06,0.0038344336820650914,6.685179780863898e-06
RF_correct_RNN_correct,data_Koculak_unpub,4.999950000499995e-06,0.001334024932896434,4.196090012674716e-05,0.001334024932896434,4.196090012674716e-05
RF_correct_RNN_incorrect,data_Koculak_unpub,4.999950000499995e-06,0.001334024932896434,4.196090012674716e-05,0.001334024932896434,4.196090012674716e-05
