experiment,condition,score_mean,score_std,pval,p_corrected,stars
data_Bang_2019_Exp1,RF_correct,0.7857739742647173,0.039655485122886754,9.999900000999992e-06,0.00015999840001599988,***
data_Bang_2019_Exp2,RF_correct,0.6202298669783869,0.10249392519206706,9.999900000999992e-06,0.00015999840001599988,***
data_Gajdos_2019,RF_correct,0.5643205140460492,0.031213263754081295,9.999900000999992e-06,0.00015999840001599988,***
data_Haddara_unpub,RF_correct,0.6402918103308697,0.11364137587940908,9.999900000999992e-06,0.00015999840001599988,***
data_Koculak_unpub,RF_correct,0.5968810050511427,0.12123237956615573,9.999900000999992e-06,0.00015999840001599988,***
data_Law_unpub,RF_correct,0.6842059305538692,0.06282455580960922,9.999900000999992e-06,0.00015999840001599988,***
data_Maniscalco_2017_expt1,RF_correct,0.6452866854400094,0.09299066139288593,9.999900000999992e-06,0.00015999840001599988,***
data_Maniscalco_2017_expt2,RF_correct,0.5840563824327262,0.06361268276685858,9.999900000999992e-06,0.00015999840001599988,***
data_Maniscalco_2017_expt3,RF_correct,0.6513250308372142,0.09874359219996352,9.999900000999992e-06,0.00015999840001599988,***
data_Maniscalco_2017_expt4,RF_correct,0.6535711066816164,0.12294731389476488,9.999900000999992e-06,0.00015999840001599988,***
data_Shekhar_2018,RF_correct,0.6643720910881444,0.09913210546841249,9.999900000999992e-06,0.00015999840001599988,***
data_Siedlecka_2019,RF_correct,0.7470229974420083,0.12667552636865614,9.999900000999992e-06,0.00015999840001599988,***
data_Wierzchon_2014,RF_correct,0.5946126427427155,0.09098763193615542,9.999900000999992e-06,0.00015999840001599988,***
data_vanBoxtel_2019_Expt1,RF_correct,0.5742257976137529,0.04406753286803363,9.999900000999992e-06,0.00015999840001599988,***
data_vanBoxtel_2019_Expt2,RF_correct,0.655749696643078,0.06889403901638871,9.999900000999992e-06,0.00015999840001599988,***
data_Sherman_2016_JOCN,RF_correct,0.5994928009513457,0.06519261793751575,1.0099899001009994e-05,0.0001615983840161599,***
data_Bang_2019_Exp1,RF_incorrect,0.6922718667531371,0.07211646966608545,9.999900000999992e-06,0.00015999840001599988,***
data_Bang_2019_Exp2,RF_incorrect,0.6459738818499374,0.11957047068959996,9.999900000999992e-06,0.00015999840001599988,***
data_Haddara_unpub,RF_incorrect,0.6418666845589998,0.11221437122016424,9.999900000999992e-06,0.00015999840001599988,***
data_Law_unpub,RF_incorrect,0.7095812371629234,0.06211546346489163,9.999900000999992e-06,0.00015999840001599988,***
data_Maniscalco_2017_expt1,RF_incorrect,0.61835931673706,0.11467390963063627,9.999900000999992e-06,0.00015999840001599988,***
