experiment,condition,slope,intercept,pval,model,accuracy_train,accuracy_test,p_corrected
data_Haddara_unpub,regression_correct_correct,-0.005924015201324232,-0.11835054585845425,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015204220046,-0.11835078342311198,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015429823824,-0.11835053838941133,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.0059240148476667875,-0.11835076645268625,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015281809553,-0.11835065407544199,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924014915034572,-0.11835079164131393,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015249651465,-0.1183507306980962,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015156464601,-0.11835064966783808,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.00592401516671613,-0.11835100957549904,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015498504663,-0.11835070053450604,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015243192856,-0.11835051357302166,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.00592401501410816,-0.1183506961842375,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015390614123,-0.11835098422586389,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924014913667719,-0.11835068265839857,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.0059240150048950465,-0.11835043184028145,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015461577502,-0.1183501966414438,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015163687097,-0.1183508386029121,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015466658563,-0.1183506782144886,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015156983194,-0.11835074132720659,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015391682812,-0.11835049457454655,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.0059240150076515985,-0.11835109417754971,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015052633372,-0.11835049554594146,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924014911829869,-0.11835087544587902,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015240537442,-0.11835049237428523,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015721389648,-0.11835090061131831,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924014845919138,-0.11835047902541426,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.00592401503862424,-0.11835049987313634,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015349790663,-0.11835065853834584,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015073184989,-0.11835060333348763,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015070389003,-0.11835076457927862,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015395464493,-0.11835065008624522,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.0059240150642587705,-0.11835092217118795,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.0059240150586946615,-0.11835075667132995,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.0059240153767201546,-0.11835079824263421,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.0059240149625625965,-0.11835068579271461,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015558096953,-0.11835069809093568,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.0059240150762465875,-0.11835125210516056,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924014825786581,-0.11835105183534889,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015063305967,-0.11835070870913289,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.00592401500967547,-0.1183508881137999,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924014840811192,-0.11835088822065246,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.0059240154119090055,-0.11835085609458991,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.00592401571266672,-0.11835076972857059,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015062425185,-0.1183506270142566,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015060356082,-0.11835066197124826,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015267810519,-0.11835085346140731,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015280441418,-0.11835060091168312,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015475016188,-0.11835057144672467,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015348845849,-0.11835060112908678,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015204543187,-0.11835067677577445,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924014990853611,-0.11835071757869942,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.0059240146093569555,-0.1183509787963729,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015579415268,-0.11835084451372721,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924014990334803,-0.11835104275692085,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.005924015260758881,-0.11835065544136197,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
data_Haddara_unpub,regression_correct_correct,-0.0059240152682037295,-0.11835084692351111,9.999000099990002e-05,regression,correct,correct,0.11838816118388162
