experiment,condition,slope,intercept,cv_score,pval,p_corrected,stars
data_Bang_2019_Exp1,RF_correct,"[0.01975730826179809, 0.01962551537692616, 0.01968216304868985, 0.020204467348535426, 0.01994430649875358, 0.019737010665044446, 0.020246505873741362, 0.02056857442792938, 0.020077474679368608, 0.020084086145683012, 0.020261893473691773, 0.01993247429324003]","[-0.008188619554920798, -0.008926560198517917, -0.009251577352739258, -0.008915073143162137, -0.010382491230635595, -0.009313104678670865, -0.00963627120971855, -0.010110305873413314, -0.009464077950817829, -0.009326818838636931, -0.009152806414066357, -0.009852019728129532]",-0.0021586074421505222,9.99990000099999e-06,0.00015999840001599985,***
data_Bang_2019_Exp2,RF_correct,"[0.004069678898865179, 0.004069986651579413, 0.004086004819692298, 0.004083058460652233, 0.004073898056514313, 0.00407707609932271, 0.004055094854308784, 0.004058094960326276, 0.004027367377780985, 0.004176027289243754, 0.00409274871126723, 0.00408799985530977, 0.004040632268166746, 0.004128625390892139, 0.004082958154446878, 0.004078688916956023, 0.0040472603475529105, 0.0040342686657987925, 0.004071149492743745, 0.0041000464647735005, 0.004079805739893625, 0.004126086606724922, 0.004057890504902837, 0.004115908757667867, 0.003979546611910691, 0.004087551157294696, 0.004074687689299017, 0.004073590065004048, 0.004106684838626102, 0.004089993110015917, 0.00408202380535174, 0.004032674150252578, 0.004101641884396531, 0.004044291767588728, 0.004106337098904106, 0.003995978957444174, 0.004057398097105148, 0.00405750144957734, 0.004101559897204279, 0.004080399453888711, 0.004096706603459173, 0.0040642776333747336, 0.004098691381340141, 0.004056246557120249, 0.004086007463840471, 0.004056374391167897, 0.004129453573653306, 0.004106533694349046, 0.004096788538044641, 0.004076972746253196, 0.00402566519624589, 0.004081954186130226, 0.004064267931601242, 0.004096548409618644, 0.0040651186822439605, 0.004096402574337086, 0.0040688900989781845, 0.0040417837621313, 0.004025692055823769, 0.004103512404788026, 0.004089654467806752, 0.004110539858964114, 0.004022153830450037, 0.004084266403115589, 0.004063687032379451, 0.004049160689889103, 0.0040548680258661336, 0.004084561251021028, 0.004090522742541345, 0.004087505589278825, 0.0040419691505708556, 0.00406557555386537, 0.004081678089933575, 0.004077601395938559, 0.004076410060686855, 0.004039252362254177, 0.004072232974558097, 0.004110144424222322, 0.004075930794261094, 0.004086323228973367, 0.004097751162087214, 0.0041547331385697285, 0.004084977058217764, 0.004093942185962327, 0.004074892705664113, 0.004058720023653605, 0.0040665095318906785, 0.004049424591302257, 0.004064875164950939, 0.0040773479310578925, 0.004087388684274676, 0.004080786823173144, 0.004116594671104299, 0.004086092910540371, 0.004052088648538246, 0.004077109171921835, 0.004083646558989868, 0.004100302317437148, 0.004080776206187561, 0.004065876344701489, 0.004102051093957341, 0.004079261754668083, 0.0040829784930496785, 0.004103404446525195, 0.004084132290260897, 0.004123754152714214, 0.004096181731133225, 0.0040728317879895615, 0.0041202402790431756, 0.004092847764515993, 0.004096374340640029, 0.004106326466711755, 0.004041535047005365, 0.004090890066623392, 0.004064892155618193, 0.004048181678232082, 0.004105407670001213, 0.004063815542424072, 0.004047557151532958, 0.004061593743552254, 0.0040529256116924595, 0.004055990828425407, 0.004098592834393596, 0.004039403946722363, 0.00407763276695633, 0.004079100363237982, 0.004090349747743644, 0.004051610233187185, 0.004045132312241675, 0.004105292936714754, 0.004090975156418145, 0.004056383505646546, 0.004039902813166323, 0.004108454191705715, 0.00406246010605192, 0.004057876037481861, 0.004131844458016686, 0.0040754971889167746, 0.004101345424999919, 0.0040717572848280245, 0.004060851259930286, 0.004072193984270346, 0.004071836405070448, 0.004103935162573912, 0.004035579093198551, 0.004075201907547824, 0.004100564142923062, 0.004045501748062472, 0.004075407760197009, 0.004065717708533892, 0.0040274711104442374, 0.004078378400574125, 0.004033772850514935, 0.004063744461967907, 0.0040725958925171505, 0.004120982526541275, 0.00408265525385044, 0.004047713839895277, 0.004061566091984233, 0.0041092186036410195, 0.0040915158764627405, 0.004030810115208625, 0.0040853943347718006, 0.0041311392513852414, 0.004082946693340129, 0.004082290793592568, 0.0040847139576311725, 0.004081841142744892, 0.0041287333545517915, 0.004154552775979886, 0.00404718538817715, 0.004123814861989053, 0.004100773784758687, 0.004057127959079983, 0.004117580191341984, 0.004048973786422255, 0.0040476506523574474, 0.004086363771078022, 0.004098697427068338, 0.004061252063929385, 0.004103176214325322, 0.004092136441085958, 0.004099040731843659, 0.004110293044227186, 0.00407986656099007, 0.004075165225841829, 0.0040699299727062375, 0.004049323121291383, 0.004074691257472252, 0.0040588420984925865, 0.004119448608656385, 0.004065019205569189, 0.004066017867501552, 0.004099593993774501, 0.004080074804768967, 0.004108792419255061, 0.004102362179564263, 0.004100131500355016, 0.004103338881734887, 0.004108586049177702, 0.0040985346733587984]","[0.0041001752405944464, 0.0042557919169989855, 0.004252694743028262, 0.004116895333334748, 0.004042980433291571, 0.004170742038307598, 0.004161664582485911, 0.004136520287645794, 0.0043481472123695596, 0.004046960024213137, 0.0042562726722651795, 0.004061970473100508, 0.004355078124831614, 0.003932808071150932, 0.004215428645406015, 0.0041753491007670805, 0.004290694939698775, 0.0042397638929341196, 0.004123396776861736, 0.004377249483359477, 0.0041445387294246315, 0.004125940766444614, 0.004058503132583088, 0.004146642999588598, 0.0039048971154826227, 0.004067034446384028, 0.004148585719353427, 0.00416325395740853, 0.003999981968701334, 0.004136580333670932, 0.004162351042621502, 0.004239453764973717, 0.004016030279560458, 0.004229452780879835, 0.004284092052783937, 0.004403668774412412, 0.004279068126871326, 0.004238566689900601, 0.004178605149851711, 0.004104082732950185, 0.004064082966486634, 0.004232039461868321, 0.0041469628042742, 0.004172682033617911, 0.004133743777230567, 0.004178914424600718, 0.004143105372387459, 0.004079413873324448, 0.004080038385461605, 0.00407571131968143, 0.004228890115313896, 0.004158256273555589, 0.004316095490453477, 0.004175698623193124, 0.003989883316826802, 0.004219493702580766, 0.004089536558409188, 0.004354293116533108, 0.004146797926940379, 0.004082902033032819, 0.004139697939878336, 0.004281709800109664, 0.004331057792568845, 0.004338967466353705, 0.004222951525607895, 0.0041584324179890254, 0.004184331957276221, 0.004280229199955726, 0.004065317361042519, 0.0041571768404177825, 0.00423899899943418, 0.004074877241270607, 0.00434209347051142, 0.004237547727279026, 0.004219880923138068, 0.004073532679386215, 0.004283067627130481, 0.004222445765883537, 0.004126734815310219, 0.004163698785711042, 0.004279489242473939, 0.0038477367665649687, 0.004094444538582605, 0.004350163532340029, 0.004047164499389376, 0.0040706026946804655, 0.004129195172975426, 0.004236018765957406, 0.004181107173766551, 0.004278677738437434, 0.004087849132565869, 0.00405729709050481, 0.004091447040427788, 0.00433356060945474, 0.004137996367085547, 0.0041611455592143794, 0.004147145512503381, 0.004031018257624452, 0.004171578045679098, 0.004167151589509147, 0.004052388827166003, 0.004002746429080897, 0.004008155158234217, 0.004197953357528329, 0.004195794858414953, 0.004094062030089211, 0.004239284610736065, 0.004036085151429159, 0.004126270156380691, 0.004059320153925884, 0.004084814618314371, 0.004341342735096064, 0.0038832148554963815, 0.004178480713905806, 0.00422650982371256, 0.004370327106469115, 0.004014685608238887, 0.004389691597278842, 0.0042660470287458705, 0.0042121896538954914, 0.00413510510680631, 0.004240844880801425, 0.003998563623624595, 0.0042224551872803925, 0.0041170884380120135, 0.0042430919492552534, 0.004085333373885086, 0.004096703989993764, 0.004420892065803492, 0.004407007659809597, 0.004168262788146023, 0.004080296208228546, 0.004082145242056658, 0.004093524174293546, 0.004337385443575228, 0.004122106824118135, 0.004115919809227583, 0.004179255334275184, 0.004209933582805879, 0.004041103298254363, 0.004076306135784073, 0.004268618208547419, 0.004422243796223042, 0.004130615290624036, 0.004167705886840459, 0.004095199550368267, 0.0042498314890009915, 0.004113490442416427, 0.0042293842379802285, 0.004196003830278072, 0.004274045080539517, 0.004232568582429446, 0.004211439680762822, 0.0043085369377071185, 0.004230212011637943, 0.004066906840164027, 0.004318592289282065, 0.004259191130307968, 0.004191584281521832, 0.004174966013078464, 0.004167009531884352, 0.0041527910054199434, 0.004190382159330361, 0.003936197301494266, 0.0040661842287864, 0.004285653706624041, 0.004371710836993548, 0.004167064393391175, 0.0038904706673147573, 0.003926457879191655, 0.004094385732214071, 0.004009673396399235, 0.00421018035385929, 0.004206413688068237, 0.004294310602770697, 0.0041983636319803015, 0.004129768363589208, 0.004127500727300984, 0.004214747527322007, 0.00429893971183179, 0.004256901446527392, 0.0042004983775376994, 0.004226152950798612, 0.003950973366367485, 0.004097768372877881, 0.004312318655144528, 0.0042064803185038885, 0.004276074744265626, 0.004039762228741512, 0.0041659782094973195, 0.0041095294582828585, 0.004245439990885846, 0.004217757819036553, 0.004341941252538367, 0.004210561201141376, 0.004119833050903621, 0.004170604473124536, 0.004145925556425933, 0.004309821933929502, 0.0041118090322609276, 0.00428044353927695]",-0.0010803894684453033,9.99990000099999e-06,0.00015999840001599985,***
data_Gajdos_2019,RF_correct,"[0.005555565620279861, 0.005631540191190817, 0.005574757184355469, 0.005621018176467918, 0.005682367199368038, 0.005897106995729415, 0.0055920180798381385, 0.005384257218518476, 0.005532402149214007, 0.005659262221905269, 0.005706711136060744, 0.005497936916171826, 0.005642022481877666, 0.0056128961662700325, 0.005630406840830242, 0.0055069799605861735, 0.005607060855768273, 0.005502642063551363, 0.005586890386900188, 0.005668046477304431, 0.005559670005449214, 0.005717064045229869]","[-0.007392288536403268, -0.0071639530500974685, -0.006948596790923621, -0.0070672676761367025, -0.007075519136701193, -0.007718981217825627, -0.006888153596655436, -0.006065755800055649, -0.007434066200978152, -0.006969943592177083, -0.00789620772966503, -0.006889709949521348, -0.006011396871684959, -0.0067408594256872165, -0.00789017174238079, -0.006701721187421331, -0.009196992877727562, -0.007913247421337834, -0.007446896868207386, -0.006543418119048851, -0.007453379186738853, -0.007600264972712873]",-0.00038824155997845016,9.99990000099999e-06,0.00015999840001599985,***
