filename,decoder,source,condition,fold,score,n_sample,weight T-3 C-0,weight T-3 C-1,weight T-3 C-2,weight T-3 C-3,weight T-2 C-0,weight T-2 C-1,weight T-2 C-2,weight T-2 C-3,weight T-1 C-0,weight T-1 C-1,weight T-1 C-2,weight T-1 C-3,feature importance T-3,feature importance T-2,feature importance T-1,hidden states T-3,hidden states T-2,hidden states T-1
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RF,cognitive,"T-3,T-2,T-1",7.5,0.5727516447982205,4313.0,,,,,,,,,,,,,0.009969573617915428,0.012985638699621745,0.044587115729823074,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RF,cognitive,"T-7,T-6,T-5",7.5,0.5356461756595622,4313.0,,,,,,,,,,,,,0.0087424050222304,0.009410192773848362,0.013722066802232974,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RNN,cognitive,"T-3,T-2,T-1",7.5,0.5645749886177286,4313.0,,,,,,,,,,,,,,,,0.05660019845064115,0.08558980397488498,0.10284954851340444
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RNN,cognitive,"T-7,T-6,T-5",7.5,0.5343412088387451,4313.0,,,,,,,,,,,,,,,,0.045176379924669156,0.07264613882902762,0.09042611443741903
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,SVM,cognitive,"T-3,T-2,T-1",7.5,0.5130688704661849,4313.0,-0.06447240210199318,-0.04508675772810699,0.001282292313590983,0.08773954442526709,-0.0667878871966357,-0.048760911667312674,0.000638748230454828,0.09310840567991573,-0.0829203781052781,-0.06610821637111007,-0.014790630535332484,0.1323061977163507,,,,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,SVM,cognitive,"T-7,T-6,T-5",7.5,0.5073098542308909,4313.0,-0.0559097515502482,-0.039091227047888526,0.00393683889651724,0.07292335085601115,-0.05982876428144717,-0.04038384401388063,0.002331084333150307,0.0779478421385435,-0.06369774602909552,-0.044274367866981156,0.0005843233396385694,0.08605210147089871,,,,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,RF,cognitive,"T-3,T-2,T-1",7.5,0.5767951544247815,3152.0,,,,,,,,,,,,,0.011925276705731515,0.014192219368687635,0.04193559470215498,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,RF,cognitive,"T-7,T-6,T-5",7.5,0.541173235300014,3152.0,,,,,,,,,,,,,0.009670621872979908,0.010484883215056709,0.012448381474126177,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,RNN,cognitive,"T-3,T-2,T-1",7.5,0.5737801267097646,3152.0,,,,,,,,,,,,,,,,0.0789967607724975,0.12406849222043093,0.15142435731831938
../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,RNN,cognitive,"T-7,T-6,T-5",7.5,0.5372348517583287,3152.0,,,,,,,,,,,,,,,,0.06253573648837119,0.10405628155149316,0.13169203429879417
../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,SVM,cognitive,"T-3,T-2,T-1",7.5,0.5099079665062565,3152.0,-0.06447240210199315,-0.04508675772810693,0.0012822923135909882,0.08773954442526703,-0.06678788719663555,-0.04876091166731268,0.0006387482304548273,0.09310840567991566,-0.08292037810527822,-0.06610821637111002,-0.01479063053533248,0.13230619771635035,,,,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt2.csv,SVM,cognitive,"T-7,T-6,T-5",7.5,0.5069345916696505,3152.0,-0.055909751550248306,-0.039091227047888547,0.0039368388965172335,0.07292335085601118,-0.05982876428144719,-0.04038384401388063,0.0023310843331502944,0.07794784213854342,-0.06369774602909548,-0.04427436786698114,0.0005843233396385617,0.08605210147089869,,,,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,RF,cognitive,"T-3,T-2,T-1",7.5,0.5624011433855904,3233.0,,,,,,,,,,,,,0.008487943492759057,0.009550983791984281,0.03183879896157586,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,RF,cognitive,"T-7,T-6,T-5",7.5,0.5409648872477849,3233.0,,,,,,,,,,,,,0.008147322455222672,0.01167589453513384,0.01182936275465082,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,RNN,cognitive,"T-3,T-2,T-1",7.5,0.5548576152690534,3233.0,,,,,,,,,,,,,,,,0.019103573139000216,0.02148996937442765,0.021004607077823798
../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,RNN,cognitive,"T-7,T-6,T-5",7.5,0.5395785417597767,3233.0,,,,,,,,,,,,,,,,0.015951363636122547,0.020262205017691784,0.02112047989742981
../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,SVM,cognitive,"T-3,T-2,T-1",7.5,0.5083862148241343,3233.0,-0.06447240210199312,-0.045086757728107066,0.0012822923135909962,0.08773954442526702,-0.0667878871966357,-0.0487609116673126,0.0006387482304548283,0.09310840567991599,-0.08292037810527833,-0.06610821637110997,-0.014790630535332477,0.13230619771635038,,,,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt3.csv,SVM,cognitive,"T-7,T-6,T-5",7.5,0.5053365530050492,3233.0,-0.05590975155024807,-0.039091227047888505,0.003936838896517246,0.07292335085601113,-0.05982876428144727,-0.040383844013880635,0.0023310843331503053,0.07794784213854353,-0.06369774602909545,-0.044274367866981024,0.0005843233396385756,0.08605210147089881,,,,,,
../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,RF,cognitive,"T-3,T-2,T-1",7.5,0.519435693854276,53.0,,,,,,,,,,,,,-0.010694459465777106,-0.005524039680722878,-0.0023315444248470604,,,
../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,RF,cognitive,"T-7,T-6,T-5",7.5,0.5262496947771439,53.0,,,,,,,,,,,,,-0.0003146635081878428,0.0002362410739929772,-0.0037333123495464893,,,
../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,RNN,cognitive,"T-3,T-2,T-1",7.5,0.528046327199774,53.0,,,,,,,,,,,,,,,,0.14040544667316354,0.22942926490653026,0.2919814767194352
../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,RNN,cognitive,"T-7,T-6,T-5",7.5,0.5309683747614697,53.0,,,,,,,,,,,,,,,,0.10931166572354757,0.18777555576717825,0.24646170901687925
../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,SVM,cognitive,"T-3,T-2,T-1",7.5,0.5112822144282049,53.0,-0.06447240210199351,-0.04508675772810713,0.0012822923135910069,0.08773954442526746,-0.06678788719663557,-0.04876091166731294,0.0006387482304548648,0.09310840567991582,-0.08292037810527816,-0.06610821637110996,-0.0147906305353325,0.13230619771635008,,,,,,
../data/targets/cognitive-4-rating/data_Paulewicz_unpub1.csv,SVM,cognitive,"T-7,T-6,T-5",7.5,0.5163625300943088,53.0,-0.05590975155024835,-0.03909122704788867,0.003936838896517282,0.07292335085601101,-0.059828764281446865,-0.04038384401388061,0.0023310843331502866,0.0779478421385433,-0.06369774602909566,-0.04427436786698124,0.0005843233396385339,0.08605210147089827,,,,,,
../data/targets/mem_4-point/data_Matthews_2019.csv,RF,mem_4,"T-3,T-2,T-1",7.5,0.5644073063836889,342.2352941176471,,,,,,,,,,,,,0.009404531408295683,0.010890629586404648,0.03277441320638695,,,
../data/targets/mem_4-point/data_Matthews_2019.csv,RF,mem_4,"T-7,T-6,T-5",7.5,0.5562710688379175,342.2352941176471,,,,,,,,,,,,,0.01500976460222605,0.011583955949295522,0.01611946662486073,,,
../data/targets/mem_4-point/data_Matthews_2019.csv,RNN,mem_4,"T-3,T-2,T-1",7.5,0.5612936335624833,342.2352941176471,,,,,,,,,,,,,,,,0.07076635236819584,0.11116574919891023,0.13748443183687734
../data/targets/mem_4-point/data_Matthews_2019.csv,RNN,mem_4,"T-7,T-6,T-5",7.5,0.5508441042056307,342.2352941176471,,,,,,,,,,,,,,,,0.057470715283570555,0.09460161897445954,0.12054865860579198
../data/targets/mem_4-point/data_Matthews_2019.csv,SVM,mem_4,"T-3,T-2,T-1",7.5,0.5120768880149696,342.2352941176471,-0.06447240210199337,-0.045086757728107024,0.001282292313591011,0.08773954442526719,-0.06678788719663567,-0.048760911667313056,0.0006387482304547981,0.0931084056799157,-0.08292037810527852,-0.0661082163711102,-0.014790630535332472,0.1323061977163503,,,,,,
../data/targets/mem_4-point/data_Matthews_2019.csv,SVM,mem_4,"T-7,T-6,T-5",7.5,0.5147437706695617,342.2352941176471,-0.05590975155024805,-0.03909122704788865,0.0039368388965172725,0.0729233508560111,-0.05982876428144739,-0.040383844013880656,0.002331084333150279,0.0779478421385435,-0.06369774602909521,-0.044274367866981156,0.0005843233396385235,0.0860521014708988,,,,,,
../data/targets/mem_4-point/data_Siedlecka_2018_Exp1.csv,RF,mem_4,"T-3,T-2,T-1",7.5,0.54081890008242,77.21052631578948,,,,,,,,,,,,,-0.002245086179326139,0.0013323812831480871,0.01200547416900804,,,
../data/targets/mem_4-point/data_Siedlecka_2018_Exp1.csv,RF,mem_4,"T-7,T-6,T-5",7.5,0.5346311496088213,77.21052631578948,,,,,,,,,,,,,-0.004669417738757652,0.009407343606115271,0.00870588168918814,,,
../data/targets/mem_4-point/data_Siedlecka_2018_Exp1.csv,RNN,mem_4,"T-3,T-2,T-1",7.5,0.5412652326472163,77.21052631578948,,,,,,,,,,,,,,,,0.07740099645027505,0.121510637450372,0.14831361833172482
../data/targets/mem_4-point/data_Siedlecka_2018_Exp1.csv,RNN,mem_4,"T-7,T-6,T-5",7.5,0.536413777016849,77.21052631578948,,,,,,,,,,,,,,,,0.058580351610604146,0.0978853053016361,0.1217217182356523
../data/targets/mem_4-point/data_Siedlecka_2018_Exp1.csv,SVM,mem_4,"T-3,T-2,T-1",7.5,0.49355539207438087,77.21052631578948,-0.0644724021019934,-0.04508675772810696,0.0012822923135910212,0.08773954442526705,-0.06678788719663567,-0.048760911667313084,0.0006387482304547988,0.09310840567991567,-0.08292037810527857,-0.06610821637111025,-0.014790630535332477,0.13230619771634994,,,,,,
../data/targets/mem_4-point/data_Siedlecka_2018_Exp1.csv,SVM,mem_4,"T-7,T-6,T-5",7.5,0.4958408586891542,77.21052631578948,-0.05590975155024828,-0.03909122704788856,0.003936838896517295,0.07292335085601119,-0.05982876428144703,-0.04038384401388075,0.002331084333150327,0.07794784213854354,-0.06369774602909535,-0.04427436786698118,0.0005843233396385169,0.08605210147089862,,,,,,
../data/targets/mem_4-point/data_Siedlecka_2018_Exp2.csv,RF,mem_4,"T-3,T-2,T-1",7.5,0.5454852917304163,72.50909090909092,,,,,,,,,,,,,0.0011287516917291634,0.002556915080837244,0.0188470605492323,,,
../data/targets/mem_4-point/data_Siedlecka_2018_Exp2.csv,RF,mem_4,"T-7,T-6,T-5",7.5,0.5368532598761603,72.50909090909092,,,,,,,,,,,,,0.0042282200957877705,0.009222926445774157,0.0077971215984987295,,,
../data/targets/mem_4-point/data_Siedlecka_2018_Exp2.csv,RNN,mem_4,"T-3,T-2,T-1",7.5,0.5303981996727014,72.50909090909092,,,,,,,,,,,,,,,,0.04076723685260401,0.061100847463372195,0.07575729151855988
../data/targets/mem_4-point/data_Siedlecka_2018_Exp2.csv,RNN,mem_4,"T-7,T-6,T-5",7.5,0.5277973417106979,72.50909090909092,,,,,,,,,,,,,,,,0.029448637030748678,0.04392614315244249,0.054125643399013566
../data/targets/mem_4-point/data_Siedlecka_2018_Exp2.csv,SVM,mem_4,"T-3,T-2,T-1",7.5,0.5187077595394056,72.50909090909092,-0.06447240210199351,-0.045086757728107135,0.0012822923135910073,0.08773954442526734,-0.06678788719663556,-0.048760911667312945,0.0006387482304548691,0.0931084056799157,-0.08292037810527823,-0.06610821637110996,-0.0147906305353325,0.13230619771634994,,,,,,
../data/targets/mem_4-point/data_Siedlecka_2018_Exp2.csv,SVM,mem_4,"T-7,T-6,T-5",7.5,0.5123732112835857,72.50909090909092,-0.05590975155024825,-0.039091227047888734,0.00393683889651728,0.07292335085601107,-0.0598287642814469,-0.04038384401388044,0.0023310843331502814,0.07794784213854308,-0.06369774602909578,-0.04427436786698129,0.0005843233396385423,0.08605210147089838,,,,,,
../data/targets/mem_4-point/data_Siedlecka_unpub.csv,RF,mem_4,"T-3,T-2,T-1",7.5,0.6830051381245283,145.3,,,,,,,,,,,,,0.004925881964270509,0.014177528193953704,0.031411315513567524,,,
../data/targets/mem_4-point/data_Siedlecka_unpub.csv,RF,mem_4,"T-7,T-6,T-5",7.5,0.6430918972049231,145.3,,,,,,,,,,,,,0.007492410973343096,0.0054078569288077815,0.011893679247679926,,,
../data/targets/mem_4-point/data_Siedlecka_unpub.csv,RNN,mem_4,"T-3,T-2,T-1",7.5,0.5764724692185315,145.3,,,,,,,,,,,,,,,,0.15352329922197896,0.2502616752786707,0.30976052426849493
../data/targets/mem_4-point/data_Siedlecka_unpub.csv,RNN,mem_4,"T-7,T-6,T-5",7.5,0.5227033106651383,145.3,,,,,,,,,,,,,,,,0.12299633825741693,0.21311017052012177,0.27219042080823785
../data/targets/mem_4-point/data_Siedlecka_unpub.csv,SVM,mem_4,"T-3,T-2,T-1",7.5,0.5883372260977555,145.3,-0.064472402101993,-0.04508675772810715,0.0012822923135910151,0.08773954442526695,-0.06678788719663539,-0.04876091166731262,0.0006387482304548316,0.09310840567991595,-0.08292037810527826,-0.06610821637111002,-0.014790630535332467,0.13230619771635005,,,,,,
../data/targets/mem_4-point/data_Siedlecka_unpub.csv,SVM,mem_4,"T-7,T-6,T-5",7.5,0.5532611027171426,145.3,-0.055909751550248056,-0.03909122704788864,0.003936838896517239,0.07292335085601112,-0.0598287642814473,-0.040383844013880635,0.0023310843331502775,0.0779478421385435,-0.06369774602909516,-0.044274367866980954,0.0005843233396385828,0.08605210147089885,,,,,,
../data/targets/mixed_4-point/data_Denison_2018.csv,RF,mixed_4,"T-3,T-2,T-1",7.5,0.5826131570251082,2045.0,,,,,,,,,,,,,0.013003607910273688,0.01751929338168115,0.037894423795912895,,,
../data/targets/mixed_4-point/data_Denison_2018.csv,RF,mixed_4,"T-7,T-6,T-5",7.5,0.5522799044700613,2045.0,,,,,,,,,,,,,0.012965572183924239,0.01276750017675216,0.014641989098764192,,,
../data/targets/mixed_4-point/data_Denison_2018.csv,RNN,mixed_4,"T-3,T-2,T-1",7.5,0.5759577853882394,2045.0,,,,,,,,,,,,,,,,0.03485203756811946,0.048270600667213635,0.054035414754859325
../data/targets/mixed_4-point/data_Denison_2018.csv,RNN,mixed_4,"T-7,T-6,T-5",7.5,0.5468033794163086,2045.0,,,,,,,,,,,,,,,,0.028161491766544103,0.04205030581821726,0.04917953341161289
../data/targets/mixed_4-point/data_Denison_2018.csv,SVM,mixed_4,"T-3,T-2,T-1",7.5,0.5114639606391809,2045.0,-0.06447240210199318,-0.04508675772810699,0.001282292313590989,0.08773954442526706,-0.0667878871966357,-0.04876091166731261,0.0006387482304548265,0.09310840567991581,-0.08292037810527808,-0.06610821637111002,-0.014790630535332484,0.1323061977163506,,,,,,
../data/targets/mixed_4-point/data_Denison_2018.csv,SVM,mixed_4,"T-7,T-6,T-5",7.5,0.5008054972098831,2045.0,-0.05590975155024814,-0.039091227047888505,0.003936838896517238,0.07292335085601112,-0.05982876428144718,-0.040383844013880614,0.0023310843331503087,0.07794784213854349,-0.06369774602909548,-0.0442743678669811,0.000584323339638574,0.08605210147089881,,,,,,
../data/targets/mixed_4-point/data_Samaha_2016.csv,RF,mixed_4,"T-3,T-2,T-1",7.5,0.6476577423151471,553.0,,,,,,,,,,,,,0.01517868332163887,0.0211645291647383,0.07800364319290815,,,
../data/targets/mixed_4-point/data_Samaha_2016.csv,RF,mixed_4,"T-7,T-6,T-5",7.5,0.5859399691837802,553.0,,,,,,,,,,,,,0.014189955712897483,0.01794075856184879,0.02470636451984072,,,
../data/targets/mixed_4-point/data_Samaha_2016.csv,RNN,mixed_4,"T-3,T-2,T-1",7.5,0.6205584729047187,553.0,,,,,,,,,,,,,,,,0.1255071044472667,0.20269735116356363,0.2487928197166184
../data/targets/mixed_4-point/data_Samaha_2016.csv,RNN,mixed_4,"T-7,T-6,T-5",7.5,0.574640019893518,553.0,,,,,,,,,,,,,,,,0.09879080568781166,0.16881666581078508,0.21443603328167835
../data/targets/mixed_4-point/data_Samaha_2016.csv,SVM,mixed_4,"T-3,T-2,T-1",7.5,0.5406750880765759,553.0,-0.06447240210199312,-0.045086757728107066,0.0012822923135909962,0.08773954442526702,-0.0667878871966357,-0.0487609116673126,0.0006387482304548283,0.09310840567991599,-0.08292037810527833,-0.06610821637110997,-0.014790630535332477,0.13230619771635038,,,,,,
../data/targets/mixed_4-point/data_Samaha_2016.csv,SVM,mixed_4,"T-7,T-6,T-5",7.5,0.5238702230194398,553.0,-0.05590975155024807,-0.039091227047888505,0.003936838896517246,0.07292335085601113,-0.05982876428144727,-0.040383844013880635,0.0023310843331503053,0.07794784213854353,-0.06369774602909545,-0.044274367866981024,0.0005843233396385756,0.08605210147089881,,,,,,
../data/targets/mixed_4-point/data_Samaha_2017_exp1.csv,RF,mixed_4,"T-3,T-2,T-1",7.5,0.6153438001129952,406.6,,,,,,,,,,,,,0.005388471336907219,0.006326769362082034,0.059511014459973643,,,
../data/targets/mixed_4-point/data_Samaha_2017_exp1.csv,RF,mixed_4,"T-7,T-6,T-5",7.5,0.5522672471784047,406.6,,,,,,,,,,,,,0.00872495374846655,0.006821565783910947,0.01058638701155695,,,
../data/targets/mixed_4-point/data_Samaha_2017_exp1.csv,RNN,mixed_4,"T-3,T-2,T-1",7.5,0.563715641400192,406.6,,,,,,,,,,,,,,,,0.10768036935969576,0.17353494246872286,0.21653418602145394
../data/targets/mixed_4-point/data_Samaha_2017_exp1.csv,RNN,mixed_4,"T-7,T-6,T-5",7.5,0.5291082632426393,406.6,,,,,,,,,,,,,,,,0.08431237026179587,0.14396798854686493,0.18591015730535218
../data/targets/mixed_4-point/data_Samaha_2017_exp1.csv,SVM,mixed_4,"T-3,T-2,T-1",7.5,0.6010351401805558,406.6,-0.064472402101993,-0.04508675772810715,0.0012822923135910151,0.08773954442526695,-0.06678788719663539,-0.04876091166731262,0.0006387482304548316,0.09310840567991595,-0.08292037810527826,-0.06610821637111002,-0.014790630535332467,0.13230619771635005,,,,,,
../data/targets/mixed_4-point/data_Samaha_2017_exp1.csv,SVM,mixed_4,"T-7,T-6,T-5",7.5,0.5558430639580372,406.6,-0.055909751550248056,-0.03909122704788864,0.003936838896517239,0.07292335085601112,-0.0598287642814473,-0.040383844013880635,0.0023310843331502775,0.0779478421385435,-0.06369774602909516,-0.044274367866980954,0.0005843233396385828,0.08605210147089885,,,,,,
../data/targets/mixed_4-point/data_Samaha_2017_exp2.csv,RF,mixed_4,"T-3,T-2,T-1",7.5,0.5904142578392906,284.65,,,,,,,,,,,,,-1.712579355316112e-05,0.0053771960548978604,0.04982822907453114,,,
../data/targets/mixed_4-point/data_Samaha_2017_exp2.csv,RF,mixed_4,"T-7,T-6,T-5",7.5,0.5309697859768262,284.65,,,,,,,,,,,,,0.004409334818901071,-0.0015251409404279297,0.004451302548884305,,,
../data/targets/mixed_4-point/data_Samaha_2017_exp2.csv,RNN,mixed_4,"T-3,T-2,T-1",7.5,0.5532863602509371,284.65,,,,,,,,,,,,,,,,0.10937999781308463,0.17621412447588228,0.21975200153974583
../data/targets/mixed_4-point/data_Samaha_2017_exp2.csv,RNN,mixed_4,"T-7,T-6,T-5",7.5,0.5136050407822307,284.65,,,,,,,,,,,,,,,,0.08430317712818577,0.14453116405129549,0.18741876682179281
../data/targets/mixed_4-point/data_Samaha_2017_exp2.csv,SVM,mixed_4,"T-3,T-2,T-1",7.5,0.5692183018011484,284.65,-0.064472402101993,-0.04508675772810715,0.0012822923135910151,0.08773954442526695,-0.06678788719663539,-0.04876091166731262,0.0006387482304548316,0.09310840567991595,-0.08292037810527826,-0.06610821637111002,-0.014790630535332467,0.13230619771635005,,,,,,
../data/targets/mixed_4-point/data_Samaha_2017_exp2.csv,SVM,mixed_4,"T-7,T-6,T-5",7.5,0.5288203686561401,284.65,-0.055909751550248056,-0.03909122704788864,0.003936838896517239,0.07292335085601112,-0.0598287642814473,-0.040383844013880635,0.0023310843331502775,0.0779478421385435,-0.06369774602909516,-0.044274367866980954,0.0005843233396385828,0.08605210147089885,,,,,,
../data/targets/mixed_4-point/data_Samaha_2017_exp3.csv,RF,mixed_4,"T-3,T-2,T-1",7.5,0.6196805970615806,836.1904761904761,,,,,,,,,,,,,0.012566866929476577,0.016282676139346648,0.06253692018098872,,,
../data/targets/mixed_4-point/data_Samaha_2017_exp3.csv,RF,mixed_4,"T-7,T-6,T-5",7.5,0.5667162049615841,836.1904761904761,,,,,,,,,,,,,0.01444679690347905,0.016783914395050992,0.021122188921130415,,,
../data/targets/mixed_4-point/data_Samaha_2017_exp3.csv,RNN,mixed_4,"T-3,T-2,T-1",7.5,0.5965342853380634,836.1904761904761,,,,,,,,,,,,,,,,0.10219459713170224,0.16311524497203728,0.20015941671685833
../data/targets/mixed_4-point/data_Samaha_2017_exp3.csv,RNN,mixed_4,"T-7,T-6,T-5",7.5,0.5581932939681676,836.1904761904761,,,,,,,,,,,,,,,,0.08017603884426146,0.13468398610300591,0.17064285211450797
../data/targets/mixed_4-point/data_Samaha_2017_exp3.csv,SVM,mixed_4,"T-3,T-2,T-1",7.5,0.5638804306314386,836.1904761904761,-0.06447240210199294,-0.04508675772810716,0.0012822923135910077,0.08773954442526695,-0.06678788719663543,-0.04876091166731265,0.0006387482304548184,0.09310840567991593,-0.08292037810527825,-0.06610821637111,-0.014790630535332468,0.1323061977163499,,,,,,
../data/targets/mixed_4-point/data_Samaha_2017_exp3.csv,SVM,mixed_4,"T-7,T-6,T-5",7.5,0.5398649021327495,836.1904761904761,-0.05590975155024806,-0.039091227047888644,0.00393683889651724,0.07292335085601116,-0.05982876428144736,-0.040383844013880656,0.002331084333150277,0.0779478421385435,-0.06369774602909521,-0.04427436786698099,0.0005843233396385787,0.0860521014708989,,,,,,
../data/targets/mixed_4-point/data_Xu_2019_Exp1.csv,RF,mixed_4,"T-3,T-2,T-1",7.5,0.5645676883977823,239.5483870967742,,,,,,,,,,,,,0.002998749114259578,0.0026974582417406494,0.013129454346415156,,,
../data/targets/mixed_4-point/data_Xu_2019_Exp1.csv,RF,mixed_4,"T-7,T-6,T-5",7.5,0.558751437289181,239.5483870967742,,,,,,,,,,,,,0.004254943934225976,0.0054071381824212705,0.009758281694543984,,,
../data/targets/mixed_4-point/data_Xu_2019_Exp1.csv,RNN,mixed_4,"T-3,T-2,T-1",7.5,0.5653391777371982,239.5483870967742,,,,,,,,,,,,,,,,-0.09417926543967277,-0.17539071953363036,-0.2355435713070326
../data/targets/mixed_4-point/data_Xu_2019_Exp1.csv,RNN,mixed_4,"T-7,T-6,T-5",7.5,0.5599470356015838,239.5483870967742,,,,,,,,,,,,,,,,-0.07370274052505744,-0.14533299871606772,-0.20277705315722064
../data/targets/mixed_4-point/data_Xu_2019_Exp1.csv,SVM,mixed_4,"T-3,T-2,T-1",7.5,0.5491894265380363,239.5483870967742,-0.06447240210199297,-0.04508675772810712,0.0012822923135910025,0.08773954442526703,-0.06678788719663545,-0.048760911667312924,0.0006387482304548006,0.09310840567991567,-0.08292037810527854,-0.06610821637111018,-0.014790630535332479,0.13230619771635047,,,,,,
../data/targets/mixed_4-point/data_Xu_2019_Exp1.csv,SVM,mixed_4,"T-7,T-6,T-5",7.5,0.5386395748937103,239.5483870967742,-0.05590975155024805,-0.03909122704788868,0.00393683889651725,0.07292335085601113,-0.05982876428144745,-0.040383844013880656,0.002331084333150279,0.0779478421385436,-0.06369774602909523,-0.044274367866981044,0.0005843233396385301,0.08605210147089866,,,,,,
../data/targets/mixed_4-point/data_Xu_2019_Exp2.csv,RF,mixed_4,"T-3,T-2,T-1",7.5,0.5446293586017156,132.04166666666666,,,,,,,,,,,,,0.0029940830617765928,-0.00031801237052643116,0.023253580370498076,,,
