study_name,decoder,accuracy_train,accuracy_test,condition,fold,score,n_sample,feature_importance T-3,feature_importance T-2,feature_importance T-1,hidden_state T-3,hidden_state T-2,hidden_state T-1,weight T-3 C-0,weight T-3 C-1,weight T-3 C-2,weight T-3 C-3,weight T-2 C-0,weight T-2 C-1,weight T-2 C-2,weight T-2 C-3,weight T-1 C-0,weight T-1 C-1,weight T-1 C-2,weight T-1 C-3
data_Bang_2019_Exp1,RF,correct trials,correct trials,"T-3,T-2,T-1",5.5,0.8063825456970032,2755.6666666666665,0.01750326745549074,0.038979396560286074,0.22444121790372884,,,,,,,,,,,,,,,
data_Bang_2019_Exp1,RF,correct trials,correct trials,"T-7,T-6,T-5",5.5,0.66315915606517,2755.6666666666665,0.039381190964988703,0.03215708452163338,0.10985382587815644,,,,,,,,,,,,,,,
data_Bang_2019_Exp1,RF,correct trials,incorrect trials,"T-3,T-2,T-1",5.5,0.712764314043386,772.8333333333334,0.018726193091253507,0.020329946282403023,0.07468628717693235,,,,,,,,,,,,,,,
data_Bang_2019_Exp1,RF,correct trials,incorrect trials,"T-7,T-6,T-5",5.5,0.6380821538187784,772.8333333333334,0.035981345822497894,0.022649929413386893,0.06718226249526753,,,,,,,,,,,,,,,
data_Bang_2019_Exp1,RF,incorrect trials,correct trials,"T-3,T-2,T-1",5.5,0.8040730770745408,2755.6666666666665,0.02214691196413211,0.05547806551719569,0.22111216273644255,,,,,,,,,,,,,,,
data_Bang_2019_Exp1,RF,incorrect trials,correct trials,"T-7,T-6,T-5",5.5,0.6596819073695138,2755.6666666666665,0.04288479432566581,0.0451840674122685,0.11088245298582572,,,,,,,,,,,,,,,
data_Bang_2019_Exp1,RF,incorrect trials,incorrect trials,"T-3,T-2,T-1",5.5,0.708432695915833,772.8333333333334,0.019655628801536235,0.024404036954655258,0.07559118903453235,,,,,,,,,,,,,,,
data_Bang_2019_Exp1,RF,incorrect trials,incorrect trials,"T-7,T-6,T-5",5.5,0.6301634123989045,772.8333333333334,0.03562955720992739,0.031549298750594645,0.06684629223138873,,,,,,,,,,,,,,,
data_Bang_2019_Exp1,RNN,correct trials,correct trials,"T-3,T-2,T-1",5.5,0.7849733473903586,4409.25,,,,0.14696885117640096,0.1445882672754427,0.1374543388398403,,,,,,,,,,,,
data_Bang_2019_Exp1,RNN,correct trials,correct trials,"T-7,T-6,T-5",5.5,0.6543768872609621,4409.25,,,,0.15570702000210682,0.17894376907497644,0.17900856615354613,,,,,,,,,,,,
data_Bang_2019_Exp1,RNN,correct trials,incorrect trials,"T-3,T-2,T-1",5.5,0.7011612003020855,772.8333333333334,,,,0.3748930295308431,0.4314364865422249,0.4572211106618245,,,,,,,,,,,,
data_Bang_2019_Exp1,RNN,correct trials,incorrect trials,"T-7,T-6,T-5",5.5,0.6346362604336605,772.8333333333334,,,,0.24338120222091672,0.31409372016787523,0.35271291186412174,,,,,,,,,,,,
data_Bang_2019_Exp1,RNN,incorrect trials,correct trials,"T-3,T-2,T-1",5.5,0.7828889978276643,2755.6666666666665,,,,0.12071584723889826,0.12130520616968471,0.11287967922119907,,,,,,,,,,,,
data_Bang_2019_Exp1,RNN,incorrect trials,correct trials,"T-7,T-6,T-5",5.5,0.6482061071861448,2755.6666666666665,,,,0.11720235459506508,0.13990716139475504,0.13854158980151013,,,,,,,,,,,,
data_Bang_2019_Exp1,RNN,incorrect trials,incorrect trials,"T-3,T-2,T-1",5.5,0.7333632700267384,1236.7083333333333,,,,0.27044894608358544,0.31430859056611854,0.3300223629921675,,,,,,,,,,,,
data_Bang_2019_Exp1,RNN,incorrect trials,incorrect trials,"T-7,T-6,T-5",5.5,0.6446850112780192,1236.7083333333333,,,,0.1727477948491772,0.22972961080571017,0.25518283372124034,,,,,,,,,,,,
data_Bang_2019_Exp1,SVM,correct trials,correct trials,"T-3,T-2,T-1",5.5,0.7893534160129225,2755.6666666666665,,,,,,,-0.11448575060866384,0.012950521622790217,0.095454316169659,-0.030400179337942798,-0.11959665670737228,-0.05596438403557005,-0.003595250992381893,0.19065106708389304,-0.35605452696743994,-0.15424063464216015,0.018821006683957874,0.6537284690125315
data_Bang_2019_Exp1,SVM,correct trials,correct trials,"T-7,T-6,T-5",5.5,0.6425458875900961,2755.6666666666665,,,,,,,-0.022287651125954627,0.06427268450067262,0.10693787042637039,-0.13302399511514862,-0.07026881430416555,-0.011847274828538902,0.05858828739716721,0.03683204000454352,-0.20351255551923408,-0.0875264651076126,0.03602940279025855,0.2709879620216848
data_Bang_2019_Exp1,SVM,correct trials,incorrect trials,"T-3,T-2,T-1",5.5,0.708769342380143,772.8333333333334,,,,,,,-0.11448575060866384,0.012950521622790217,0.095454316169659,-0.030400179337942798,-0.11959665670737228,-0.05596438403557005,-0.003595250992381893,0.19065106708389304,-0.35605452696743994,-0.15424063464216015,0.018821006683957874,0.6537284690125315
data_Bang_2019_Exp1,SVM,correct trials,incorrect trials,"T-7,T-6,T-5",5.5,0.6262144163353004,772.8333333333334,,,,,,,-0.022287651125954627,0.06427268450067262,0.10693787042637039,-0.13302399511514862,-0.07026881430416555,-0.011847274828538902,0.05858828739716721,0.03683204000454352,-0.20351255551923408,-0.0875264651076126,0.03602940279025855,0.2709879620216848
data_Bang_2019_Exp1,SVM,incorrect trials,correct trials,"T-3,T-2,T-1",5.5,0.7893157126355032,2755.6666666666665,,,,,,,-0.1220244604169643,0.012234161613055468,0.09923560623366097,-0.024427736687371884,-0.11529128825048592,-0.058154615350469736,-0.007889640714934433,0.19986067319628922,-0.3508407848305592,-0.1512586483382647,0.01718844234622948,0.6546584858619494
data_Bang_2019_Exp1,SVM,incorrect trials,correct trials,"T-7,T-6,T-5",5.5,0.6394245489611033,2755.6666666666665,,,,,,,-0.027800021731485113,0.07191832517189732,0.11605311994130807,-0.14249743153964287,-0.07233842848245259,-0.009566369346529524,0.05368289636431336,0.041089207851432864,-0.20171448379575743,-0.09717647916541045,0.03447717229253934,0.28134803658974367
data_Bang_2019_Exp1,SVM,incorrect trials,incorrect trials,"T-3,T-2,T-1",5.5,0.7086753894921638,772.8333333333334,,,,,,,-0.1220244604169643,0.012234161613055468,0.09923560623366097,-0.024427736687371884,-0.11529128825048592,-0.058154615350469736,-0.007889640714934433,0.19986067319628922,-0.3508407848305592,-0.1512586483382647,0.01718844234622948,0.6546584858619494
data_Bang_2019_Exp1,SVM,incorrect trials,incorrect trials,"T-7,T-6,T-5",5.5,0.6240895587207387,772.8333333333334,,,,,,,-0.027800021731485113,0.07191832517189732,0.11605311994130807,-0.14249743153964287,-0.07233842848245259,-0.009566369346529524,0.05368289636431336,0.041089207851432864,-0.20171448379575743,-0.09717647916541045,0.03447717229253934,0.28134803658974367
data_Bang_2019_Exp2,RF,correct trials,correct trials,"T-3,T-2,T-1",100.0,0.6555278333877503,140.53731343283582,0.012617333887666301,0.012214279121324065,0.05907309098895198,,,,,,,,,,,,,,,
data_Bang_2019_Exp2,RF,correct trials,correct trials,"T-7,T-6,T-5",100.0,0.6100982113042382,140.53731343283582,0.016094926506817958,0.012055276378738213,0.02044097153831071,,,,,,,,,,,,,,,
data_Bang_2019_Exp2,RF,correct trials,incorrect trials,"T-3,T-2,T-1",100.0,0.660703151165732,52.46268656716418,0.011544257874370968,0.007703292821505248,0.04482102460225668,,,,,,,,,,,,,,,
data_Bang_2019_Exp2,RF,correct trials,incorrect trials,"T-7,T-6,T-5",100.0,0.62281805488524,52.46268656716418,0.012699830711122588,0.013618193795823855,0.014805333160361762,,,,,,,,,,,,,,,
data_Bang_2019_Exp2,RF,incorrect trials,correct trials,"T-3,T-2,T-1",100.0,0.65344114255489,140.53731343283582,0.014063217716650473,0.011802323050250432,0.05828672583324632,,,,,,,,,,,,,,,
data_Bang_2019_Exp2,RF,incorrect trials,correct trials,"T-7,T-6,T-5",100.0,0.6091839706202069,140.53731343283582,0.0160434794413838,0.01375741847930016,0.023362826184242493,,,,,,,,,,,,,,,
