filename,decoder,source,accuracy_train,accuracy_test,condition,fold,score,n_sample,weight T-3 C-0,weight T-3 C-1,weight T-3 C-2,weight T-3 C-3,weight T-2 C-0,weight T-2 C-1,weight T-2 C-2,weight T-2 C-3,weight T-1 C-0,weight T-1 C-1,weight T-1 C-2,weight T-1 C-3,feature importance T-3,feature importance T-2,feature importance T-1,hidden states T-3,hidden states T-2,hidden states T-1
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RF,cognitive,correct trials,correct trials,"T-3,T-2,T-1",7.5,0.6354533610004707,2737.3636363636365,,,,,,,,,,,,,0.012761544204483466,0.02089720559988086,0.07383445535092943,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RF,cognitive,correct trials,correct trials,"T-7,T-6,T-5",7.5,0.5719316170968151,2737.3636363636365,,,,,,,,,,,,,0.012791390699370719,0.01661695812476349,0.022688199554795247,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RF,cognitive,correct trials,incorrect trials,"T-3,T-2,T-1",7.5,0.65673884648165,1575.6363636363637,,,,,,,,,,,,,0.014353755400447676,0.0223504370129696,0.07583206679637143,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RF,cognitive,correct trials,incorrect trials,"T-7,T-6,T-5",7.5,0.59202329868325,1575.6363636363637,,,,,,,,,,,,,0.018371469946933797,0.015708855392795682,0.020663215726325766,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RF,cognitive,incorrect trials,correct trials,"T-3,T-2,T-1",7.5,0.6229572802124506,2737.3636363636365,,,,,,,,,,,,,0.011731145229902963,0.021575288311891497,0.06806840682443797,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RF,cognitive,incorrect trials,correct trials,"T-7,T-6,T-5",7.5,0.5629668988956449,2737.3636363636365,,,,,,,,,,,,,0.013875854570805007,0.014908770284093374,0.020230329939217914,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RF,cognitive,incorrect trials,incorrect trials,"T-3,T-2,T-1",7.5,0.6484047778831818,1575.6363636363637,,,,,,,,,,,,,0.013940251263948012,0.024071250820518253,0.07313237585084333,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RF,cognitive,incorrect trials,incorrect trials,"T-7,T-6,T-5",7.5,0.5845910759387005,1575.6363636363637,,,,,,,,,,,,,0.01993990017330335,0.01454829184605173,0.019483861885513275,,,
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RNN,cognitive,correct trials,correct trials,"T-3,T-2,T-1",7.5,0.5761764201747591,2737.3636363636365,,,,,,,,,,,,,,,,0.1944413072567179,0.29695454615020106,0.35048122850606556
../data/targets/cognitive-4-rating/data_Adler_2018_Expt1.csv,RNN,cognitive,correct trials,correct trials,"T-7,T-6,T-5",7.5,0.5433415624346943,2737.3636363636365,,,,,,,,,,,,,,,,0.1613526290377856,0.26503250539165246,0.3257004530010322
