study_name,decoder,condition,fold,score,n_sample,feature_importance T-3,feature_importance T-2,feature_importance T-1,hidden_state T-3,hidden_state T-2,hidden_state T-1,weight T-3 C-0,weight T-3 C-1,weight T-3 C-2,weight T-3 C-3,weight T-2 C-0,weight T-2 C-1,weight T-2 C-2,weight T-2 C-3,weight T-1 C-0,weight T-1 C-1,weight T-1 C-2,weight T-1 C-3
data_Bang_2019_Exp1,RF,"T-3,T-2,T-1",5.5,0.7133977814420828,3528.5,0.02421050761896919,0.055551603867948544,0.13415846683323188,,,,,,,,,,,,,,,
data_Bang_2019_Exp1,RF,"T-7,T-6,T-5",5.5,0.6088981264742217,3528.5,0.023368835110727113,0.03289989689717843,0.0563676405492588,,,,,,,,,,,,,,,
data_Bang_2019_Exp1,RNN,"T-3,T-2,T-1",5.5,0.6735869408780296,5645.791666666667,,,,0.123287302441895,0.13824896863661704,0.14467609603889284,,,,,,,,,,,,
data_Bang_2019_Exp1,RNN,"T-7,T-6,T-5",5.5,0.5681064518450284,5645.791666666667,,,,0.029539402684652744,0.04260744896600952,0.049504660263967985,,,,,,,,,,,,
data_Bang_2019_Exp1,SVM,"T-3,T-2,T-1",5.5,0.6484150788792671,3528.5,,,,,,,-0.11581740521811677,-0.03989134750237746,0.035860603435869144,0.08439353531453025,-0.10587027440628449,-0.032005243535699314,0.018940347113906058,0.09006257788610894,-0.13606009539679523,-0.08184608440217579,-0.02971686602879364,0.1911365526513914
data_Bang_2019_Exp1,SVM,"T-7,T-6,T-5",5.5,0.5823562465298155,3528.5,,,,,,,-0.0667876415398055,0.008458971032322982,0.06933554928634833,-0.021070417743285216,-0.08069237333705363,-0.005241954651762974,0.05637520569195104,0.011906696027058085,-0.11023185461438413,-0.03639577511105027,0.037673618420886436,0.07386817380566194
data_Bang_2019_Exp2,RF,"T-3,T-2,T-1",100.0,0.5968648967353244,193.0,0.010785738527100583,0.009968451478456316,0.04665332951143026,,,,,,,,,,,,,,,
data_Bang_2019_Exp2,RF,"T-7,T-6,T-5",100.0,0.5615377270575168,193.0,0.0156641449693599,0.009995499896402518,0.0161764369332296,,,,,,,,,,,,,,,
data_Bang_2019_Exp2,RNN,"T-3,T-2,T-1",100.0,0.6148291321584354,3956.5,,,,0.09406096035194991,0.13476819033614032,0.15744202252215617,,,,,,,,,,,,
data_Bang_2019_Exp2,RNN,"T-7,T-6,T-5",100.0,0.5870949729809953,3956.5,,,,0.06993435669342282,0.11079604443808756,0.13594404640952149,,,,,,,,,,,,
data_Bang_2019_Exp2,SVM,"T-3,T-2,T-1",100.0,0.5499425290564883,193.0,,,,,,,-0.05599844675763629,-0.03776215131233644,-0.0024840056835533386,0.08114317356873571,-0.06409456451240785,-0.03895789329824187,0.0022845161999827087,0.08403430005525939,-0.08251179837308302,-0.048717809971664354,-0.0006152339494171307,0.11075929189944107
data_Bang_2019_Exp2,SVM,"T-7,T-6,T-5",100.0,0.5330995019268306,193.0,,,,,,,-0.05864061510966149,-0.042178958756696784,0.0003486770350245149,0.08408810243545575,-0.05518369394731661,-0.03092437902210652,-0.0003397978122138556,0.07203080335662114,-0.06085939823989437,-0.04402094362505809,0.007552714654958634,0.08062283938554114
data_Gajdos_2019,RF,"T-3,T-2,T-1",10.5,0.5615166085804675,515.2272727272727,0.0045361987854809676,0.005868374572733682,0.04540963573245097,,,,,,,,,,,,,,,
data_Gajdos_2019,RF,"T-7,T-6,T-5",10.5,0.5214828762680799,515.2272727272727,0.004301377210587688,0.0042078020981857625,0.009999608434406927,,,,,,,,,,,,,,,
data_Gajdos_2019,RNN,"T-3,T-2,T-1",10.5,0.5668129755037907,1339.7954545454545,,,,0.085116168145429,0.13463833606378597,0.16672095216133379,,,,,,,,,,,,
data_Gajdos_2019,RNN,"T-7,T-6,T-5",10.5,0.5406548579327736,1339.7954545454545,,,,0.06969011359086089,0.12164154822345483,0.16072830341925673,,,,,,,,,,,,
data_Gajdos_2019,SVM,"T-3,T-2,T-1",10.5,0.5559359879292597,515.2272727272727,,,,,,,-0.044102204935291676,-0.044975857049404315,0.006150963011330118,0.06202328661002035,-0.04445511655339382,-0.03526054700311223,-0.012672987223500631,0.07232620004862061,-0.07504431280137493,-0.07059185187699159,-0.03844923523186488,0.14953903299533214
