condition,source,pval,slope_rf_mean,slope_rf_std,slope_rnn_mean,slope_rnn_std
RF_correct_RNN_correct,cognitive,4.999950000499995e-06,0.0020750068859241117,4.6743458653622775e-05,0.0020750068859241117,4.6743458653622775e-05
RF_correct_RNN_incorrect,cognitive,4.999950000499995e-06,0.0020750068859241117,4.6743458653622775e-05,0.0020750068859241117,4.6743458653622775e-05
RF_incorrect_RNN_correct,cognitive,4.999950000499995e-06,-0.0006066323524826358,4.683684649994452e-05,-0.0006066323524826358,4.683684649994452e-05
RF_incorrect_RNN_incorrect,cognitive,4.999950000499995e-06,-0.0006066323524826358,4.683684649994452e-05,-0.0006066323524826358,4.683684649994452e-05
RF_correct_RNN_correct,mem_4,4.999950000499995e-06,0.0012211319266356069,3.4048796886334016e-05,0.0012211319266356069,3.4048796886334016e-05
RF_correct_RNN_incorrect,mem_4,4.999950000499995e-06,0.0012211319266356069,3.4048796886334016e-05,0.0012211319266356069,3.4048796886334016e-05
RF_incorrect_RNN_correct,mem_4,4.999950000499995e-06,0.002497011592355326,3.24142597860455e-05,0.002497011592355326,3.24142597860455e-05
RF_incorrect_RNN_incorrect,mem_4,4.999950000499995e-06,0.002497011592355326,3.24142597860455e-05,0.002497011592355326,3.24142597860455e-05
RF_correct_RNN_correct,mixed_4,4.999950000499995e-06,0.004327273527396503,4.275014781922379e-05,0.004327273527396503,4.275014781922379e-05
RF_correct_RNN_incorrect,mixed_4,4.999950000499995e-06,0.004327273527396503,4.275014781922379e-05,0.004327273527396503,4.275014781922379e-05
RF_incorrect_RNN_correct,mixed_4,4.999950000499995e-06,0.0031331810826381516,4.1033251363525506e-05,0.0031331810826381516,4.1033251363525506e-05
RF_incorrect_RNN_incorrect,mixed_4,4.999950000499995e-06,0.0031331810826381516,4.1033251363525506e-05,0.0031331810826381516,4.1033251363525506e-05
